service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1891,0,0,0,0,0,0,1,20231224,20231231
1843,0,0,0,0,0,0,1,20231102,20231220
1831,0,0,0,0,0,0,1,20231026,20231030
1842,0,0,0,0,0,1,0,20231102,20231230
1830,0,0,0,0,0,0,1,20231225,20231225
1841,0,0,0,0,1,0,0,20231102,20231220
1840,1,1,1,1,0,0,0,20231102,20231220
1807,1,1,1,1,0,0,0,20231026,20231030
1806,0,0,0,0,1,0,0,20231221,20231229
1805,1,1,1,1,0,0,0,20231221,20231229
1815,0,0,0,0,0,0,1,20240101,20240101
1826,0,0,0,0,0,0,1,20231101,20231208
1825,1,1,1,1,0,0,0,20231205,20231207
1845,1,1,1,1,0,0,0,20231031,20231031
