service_id,date,exception_type
1831,20231029,1
1807,20231030,1
1845,20231031,1
1826,20231101,1
1840,20231102,1
1841,20231103,1
1842,20231104,1
1843,20231105,1
1840,20231106,1
1840,20231107,1
1840,20231108,1
1840,20231109,1
1841,20231110,1
1842,20231111,1
1843,20231112,1
1840,20231113,1
1840,20231114,1
1840,20231115,1
1840,20231116,1
1841,20231117,1
1842,20231118,1
1843,20231119,1
1840,20231120,1
1840,20231121,1
1840,20231122,1
1840,20231123,1
1841,20231124,1
1842,20231125,1
1843,20231126,1
1840,20231127,1
1840,20231128,1
1840,20231129,1
1840,20231130,1
1841,20231201,1
1842,20231202,1
1843,20231203,1
1840,20231204,1
1825,20231205,1
1826,20231206,1
1825,20231207,1
1826,20231208,1
1842,20231209,1
1843,20231210,1
1840,20231211,1
1840,20231212,1
1840,20231213,1
1840,20231214,1
1841,20231215,1
1842,20231216,1
1843,20231217,1
1840,20231218,1
1840,20231219,1
1840,20231220,1
1805,20231221,1
1806,20231222,1
1842,20231223,1
1891,20231224,1
1830,20231225,1
1805,20231226,1
1805,20231227,1
1805,20231228,1
1806,20231229,1
1842,20231230,1
1891,20231231,1
1815,20240101,1
