route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,1830,18300005000315150101,,,0,,50101,0,0
16,1842,18420016000118057601,,,0,,167601,0,0
18,1806,18060018000319240102,,,1,,180102,0,0
14,1841,18410014000109500101,,,0,,140101,0,0
28,1842,18420028000116550202,,,1,,280202,0,0
16,1842,18420016000109050101,,,0,,160101,0,0
42,1826,18260042000113300102,,,1,,420102,0,0
28,1815,18150028000421250201,,,0,,280201,0,0
19,1825,18250019000318150101,,,0,,190101,0,0
28,1826,18260028000214437602,,,1,,287602,0,0
47,1831,18310047000120000102,,,1,,470102,0,0
33,1831,18310033000112000102,,,1,,330102,0,0
9,1805,18050009000310430102,,,1,,90102,0,0
13,1840,18400013000114020202,,,1,,130202,0,0
23,1841,18410023000110100102,,,1,,230102,0,0
18,1840,18400018000313240102,,,1,,180102,0,0
8,1805,18050008000121070101,,,0,,80101,0,0
28,1842,18420028000312240202,,,1,,280202,0,0
33,1805,18050033000520000101,,,0,,330101,0,0
26,1830,18300026000217500102,,,1,,260102,0,0
13,1840,18400013001816200101,,,0,,130101,0,0
26,1841,18410026000512480101,,,0,,260101,0,0
13,1806,18060013000918280102,,,1,,130102,0,0
35,1840,18400035000209350201,,,0,,350201,0,0
36,1826,18260036000115000101,,,0,,360101,0,0
21,1826,18260021000122200101,,,0,,210101,0,0
14,1825,18250014000222000101,,,0,,140101,0,0
28,1842,18420028000417360201,,,0,,280201,0,0
45,1845,18450045000215550102,,,1,,450102,0,0
28,1825,18250028000510350101,,,0,,280101,0,0
9,1842,18420009000219050101,,,0,,90101,0,0
18,1806,18060018000215000101,,,0,,180101,0,0
29,1806,18060029000215000101,,,0,,290101,0,0
23,1806,18060023003023455102,,,1,,235102,0,0
5,1805,18050005000510150102,,,1,,50102,0,0
17,1840,18400017000410400101,,,0,,170101,0,0
13,1841,18410013001919500102,,,1,,130102,0,0
24,1825,18250024000120000102,,,1,,240102,0,0
18,1840,18400018000216090102,,,1,,180102,0,0
27,1807,18070027000407180601,,,0,,270601,0,0
25,1805,18050025000310500101,,,0,,250101,0,0
24,1841,18410024000213450101,,,0,,240101,0,0
24,1843,18430024000115300102,,,1,,240102,0,0
19,1806,18060019000317000102,,,1,,190102,0,0
19,1831,18310019000110150102,,,1,,190102,0,0
45,1831,18310045000122250102,,,1,,450102,0,0
28,1826,18260028000613170201,,,0,,280201,0,0
17,1843,18430017000318400102,,,1,,170102,0,0
18,1825,18250018000110150101,,,0,,180101,0,0
25,1807,18070025000208300101,,,0,,250101,0,0
23,1830,18300023000116400102,,,1,,230102,0,0
13,1831,18310013000414500102,,,1,,130102,0,0
5,1830,18300005000118580102,,,1,,50102,0,0
26,1831,18310026000315100102,,,1,,260102,0,0
28,1842,18420028000416480201,,,0,,280201,0,0
9,1805,18050009000213280102,,,1,,90102,0,0
14,1805,18050014000212000101,,,0,,140101,0,0
24,1807,18070024000219450101,,,0,,240101,0,0
35,1841,18410035000311000202,,,1,,350202,0,0
13,1845,18450013000108010202,,,1,,130202,0,0
28,1805,18050028000908400102,,,1,,280102,0,0
32,1806,18060032000113550102,,,1,,320102,0,0
45,1807,18070045000210250101,,,0,,450101,0,0
26,1825,18250026000513480101,,,0,,260101,0,0
36,1842,18420036000114000102,,,1,,360102,0,0
