trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1_0101_1_48900,13:35:00,13:35:05,4644,1,Kiroldegia,0,0,0
1_0101_1_48900,13:36:21,13:36:26,4645,2,Musakola 1,0,0,0
1_0101_1_48900,13:38:00,13:38:05,4646,3,Ospitalea 1,0,0,0
1_0101_1_48900,13:40:59,13:41:04,4647,4,Elma 1,0,0,0
1_0101_1_48900,13:41:56,13:42:01,4648,5,Legarre,0,0,0
1_0101_1_48900,13:42:29,13:42:34,4649,6,Maala,0,0,0
1_0101_1_48900,13:43:05,13:43:10,4650,7,Garibai 1,0,0,0
1_0101_1_48900,13:45:10,13:45:15,4651,8,Etxaluze,0,0,0
1_0101_1_48900,13:46:20,13:46:25,4652,9,San Josepe,0,0,0
1_0101_1_48900,13:47:44,13:47:49,3061,10,San Andrés,0,0,0
1_0101_1_48900,13:49:56,13:50:01,4653,11,Arimazubi 1,0,0,0
1_0101_1_48900,13:53:22,13:53:27,4654,12,Uribarri 1,0,0,0
1_0101_1_48900,13:54:38,13:54:43,4655,13,Garaia 1,0,0,0
1_0101_1_48900,13:55:36,13:55:41,4656,14,Itxaropena,0,0,0
1_0101_1_48900,13:56:30,13:56:35,4657,15,Erguingain A,0,0,0
1_0101_1_48900,13:57:22,13:57:27,4658,16,Gorostitza,0,0,0
1_0101_1_48900,13:57:53,13:57:58,4659,17,Maitena,0,0,0
1_0101_1_48900,13:58:13,13:58:18,4976,18,Erguingain B,0,0,0
1_0101_1_48900,13:58:55,13:59:00,4660,19,Erguin 1,0,0,0
1_0101_1_48900,13:59:14,13:59:19,4661,20,Zarugalde 1,0,0,0
1_0101_1_48900,14:00:19,14:00:24,4662,21,Muzibar 1,0,0,0
1_0101_1_48900,14:00:55,14:01:00,4663,22,San Frantzisko 1,0,0,0
1_0101_1_48900,14:02:03,14:02:08,4664,23,J.l. Iñarra 1,0,0,0
1_0101_1_48900,14:03:47,14:03:52,4665,24,Altamira,0,0,0
1_0101_1_48900,14:05:07,14:05:12,3063,25,Makatzenagoiena,0,0,0
1_0101_1_48900,14:06:47,14:06:52,2095,26,Makatzenabarrena,0,0,0
1_0101_1_48900,14:08:10,14:08:15,4666,27,Obenerreka 1,0,0,0
1_0101_1_48900,14:09:11,14:09:16,4667,28,Santa Marina,0,0,0
1_0101_1_48900,14:09:54,14:09:59,4668,29,Galizia,0,0,0
1_0101_1_48900,14:10:36,14:10:41,4669,30,Joan Bengoa 1,0,0,0
1_0101_1_48900,14:11:12,14:11:17,4670,31,Eroski,0,0,0
1_0101_1_48900,14:13:16,14:13:21,4644,32,,0,0,0
1_0101_2_68700,19:05:00,19:05:05,4644,1,Kiroldegia,0,0,0
1_0101_2_68700,19:06:21,19:06:26,4645,2,Musakola 1,0,0,0
1_0101_2_68700,19:08:00,19:08:05,4646,3,Ospitalea 1,0,0,0
1_0101_2_68700,19:10:59,19:11:04,4647,4,Elma 1,0,0,0
1_0101_2_68700,19:11:56,19:12:01,4648,5,Legarre,0,0,0
1_0101_2_68700,19:12:29,19:12:34,4649,6,Maala,0,0,0
1_0101_2_68700,19:13:05,19:13:10,4650,7,Garibai 1,0,0,0
1_0101_2_68700,19:15:10,19:15:15,4651,8,Etxaluze,0,0,0
1_0101_2_68700,19:16:20,19:16:25,4652,9,San Josepe,0,0,0
1_0101_2_68700,19:17:44,19:17:49,3061,10,San Andrés,0,0,0
1_0101_2_68700,19:19:56,19:20:01,4653,11,Arimazubi 1,0,0,0
1_0101_2_68700,19:23:22,19:23:27,4654,12,Uribarri 1,0,0,0
1_0101_2_68700,19:24:38,19:24:43,4655,13,Garaia 1,0,0,0
1_0101_2_68700,19:25:36,19:25:41,4656,14,Itxaropena,0,0,0
1_0101_2_68700,19:26:30,19:26:35,4657,15,Erguingain A,0,0,0
1_0101_2_68700,19:27:22,19:27:27,4658,16,Gorostitza,0,0,0
1_0101_2_68700,19:27:53,19:27:58,4659,17,Maitena,0,0,0
1_0101_2_68700,19:28:13,19:28:18,4976,18,Erguingain B,0,0,0
1_0101_2_68700,19:28:55,19:29:00,4660,19,Erguin 1,0,0,0
1_0101_2_68700,19:29:14,19:29:19,4661,20,Zarugalde 1,0,0,0
1_0101_2_68700,19:30:19,19:30:24,4662,21,Muzibar 1,0,0,0
1_0101_2_68700,19:30:55,19:31:00,4663,22,San Frantzisko 1,0,0,0
1_0101_2_68700,19:32:03,19:32:08,4664,23,J.l. Iñarra 1,0,0,0
1_0101_2_68700,19:33:47,19:33:52,4665,24,Altamira,0,0,0
1_0101_2_68700,19:35:07,19:35:12,3063,25,Makatzenagoiena,0,0,0
1_0101_2_68700,19:36:47,19:36:52,2095,26,Makatzenabarrena,0,0,0
1_0101_2_68700,19:38:10,19:38:15,4666,27,Obenerreka 1,0,0,0
1_0101_2_68700,19:39:11,19:39:16,4667,28,Santa Marina,0,0,0
1_0101_2_68700,19:39:54,19:39:59,4668,29,Galizia,0,0,0
1_0101_2_68700,19:40:36,19:40:41,4669,30,Joan Bengoa 1,0,0,0
1_0101_2_68700,19:41:12,19:41:17,4670,31,Eroski,0,0,0
1_0101_2_68700,19:43:16,19:43:21,4644,32,,0,0,0
1_0151_1_31500,08:45:00,08:45:05,4659,1,Maitena,0,0,0
1_0151_1_31500,08:45:20,08:45:25,4976,2,Erguingain B,0,0,0
1_0151_1_31500,08:46:02,08:46:07,4660,3,Udalpe,0,0,0
1_0151_1_31500,08:46:27,08:46:32,4680,4,Garaia 2,0,0,0
1_0151_1_31500,08:47:35,08:47:40,4681,5,Uribarri 2,0,0,0
