route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,3,2_2_3_73800,,San Juan A,1,,shp_2_2,0,0
5,1,5_1_1_44100,,Olaberria,0,,shp_5_1,0,0
1,1,1_3_1_21600,,Ikastola,0,,shp_1_3,0,0
5,2,5_1_2_26100,,Olaberria,0,,shp_5_1,0,0
1,1,1_2_1_44100,,Zaisa A,1,,shp_1_2,0,0
2,1,2_4_1_59400,,San Juan B,1,,shp_2_4,0,0
3,2,3_1_2_48600,,Artia,0,,shp_3_1,0,0
1,3,1_2_3_34200,,Zaisa A,1,,shp_1_2,0,0
2,3,2_1_3_54000,,Ventas,0,,shp_2_1,0,0
3,1,3_1_1_50400,,Artia,0,,shp_3_1,0,0
1,1,1_3_1_63900,,Ikastola,0,,shp_1_3,0,0
5,3,5_1_3_60300,,Olaberria,0,,shp_5_1,0,0
1,1,1_2_1_70200,,Zaisa A,1,,shp_1_2,0,0
2,1,2_4_1_48600,,San Juan B,1,,shp_2_4,0,0
3,1,3_1_1_66600,,Artia,0,,shp_3_1,0,0
1,2,1_2_2_52200,,Zaisa A,1,,shp_1_2,0,0
3,2,3_1_2_37800,,Artia,0,,shp_3_1,0,0
3,1,3_1_1_55800,,Artia,0,,shp_3_1,0,0
1,1,1_4_1_72000,,Zaisa B,1,,shp_1_4,0,0
1,2,1_2_2_74220,,Zaisa A,1,,shp_1_2,0,0
3,2,3_1_2_32400,,Artia,0,,shp_3_1,0,0
2,3,2_1_3_43200,,Ventas,0,,shp_2_1,0,0
1,1,1_3_1_32400,,Ikastola,0,,shp_1_3,0,0
3,3,3_2_3_54000,,Tenis,0,,shp_3_2,0,0
5,1,5_1_1_49500,,Olaberria,0,,shp_5_1,0,0
2,1,2_2_1_43800,,San Juan A,1,,shp_2_2,0,0
3,2,3_1_2_59400,,Artia,0,,shp_3_1,0,0
1,2,1_2_2_41400,,Zaisa A,1,,shp_1_2,0,0
1,1,1_2_1_49500,,Zaisa A,1,,shp_1_2,0,0
1,1,1_4_1_35100,,Zaisa B,1,,shp_1_4,0,0
1,1,1_2_1_33300,,Zaisa A,1,,shp_1_2,0,0
3,1,3_1_1_61200,,Artia,0,,shp_3_1,0,0
3,1,3_2_1_28800,,Tenis,0,,shp_3_2,0,0
