trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
59_5902_1_26400,07:20:00,07:20:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_26400,07:21:37,07:21:42,1408,2,Otaola,0,0,0
59_5902_1_26400,07:22:38,07:22:43,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_26400,07:23:50,07:23:55,1410,4,Ipurua,0,0,0
59_5902_1_26400,07:24:44,07:24:49,1411,5,Sostoatarren,0,0,0
59_5902_1_26400,07:25:07,07:25:12,1412,6,Ubitxa,0,0,0
59_5902_1_26400,07:25:42,07:25:47,1416,7,San Kristobal,0,0,0
59_5902_1_26400,07:26:58,07:27:03,6018,8,Ubitxa 2,0,0,0
59_5902_1_26400,07:28:46,07:28:51,6131,9,Untzaga,0,0,0
59_5902_1_26400,07:29:42,07:29:47,850,10,Bidebarrie,0,0,0
59_5902_1_26400,07:31:18,07:31:23,1739,11,Urtzaile,0,0,0
59_5902_1_26400,07:31:59,07:32:04,6019,12,Agiñazpi,0,0,0
59_5902_1_26400,07:32:56,07:33:01,1419,13,Barrena,0,0,0
59_5902_1_26400,07:34:15,07:34:20,1400,14,Azitain,0,0,0
59_5902_1_26400,07:35:06,07:35:11,1000,15,Iparraguirre,0,0,0
59_5902_1_26400,07:41:05,07:41:10,1658,16,Saratsuegi,0,0,0
59_5902_1_26400,07:42:15,07:42:20,6015,17,Debegesa,0,0,0
59_5902_1_26400,07:45:54,07:45:59,1714,18,Tekniker,0,0,0
59_5902_1_26400,07:47:29,07:47:34,2667,19,,0,0,0
59_5902_1_61200,17:00:00,17:00:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_61200,17:01:37,17:01:42,1408,2,Otaola,0,0,0
59_5902_1_61200,17:02:38,17:02:43,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_61200,17:03:50,17:03:55,1410,4,Ipurua,0,0,0
59_5902_1_61200,17:04:44,17:04:49,1411,5,Sostoatarren,0,0,0
59_5902_1_61200,17:05:07,17:05:12,1412,6,Ubitxa,0,0,0
59_5902_1_61200,17:05:42,17:05:47,1416,7,San Kristobal,0,0,0
59_5902_1_61200,17:06:58,17:07:03,6018,8,Ubitxa 2,0,0,0
59_5902_1_61200,17:08:46,17:08:51,6131,9,Untzaga,0,0,0
59_5902_1_61200,17:09:42,17:09:47,850,10,Bidebarrie,0,0,0
59_5902_1_61200,17:11:18,17:11:23,1739,11,Urtzaile,0,0,0
59_5902_1_61200,17:11:59,17:12:04,6019,12,Agiñazpi,0,0,0
59_5902_1_61200,17:12:56,17:13:01,1419,13,Barrena,0,0,0
59_5902_1_61200,17:14:15,17:14:20,1400,14,Azitain,0,0,0
59_5902_1_61200,17:15:06,17:15:11,1000,15,Iparraguirre,0,0,0
59_5902_1_61200,17:21:05,17:21:10,1658,16,Saratsuegi,0,0,0
59_5902_1_61200,17:22:15,17:22:20,6015,17,Debegesa,0,0,0
59_5902_1_61200,17:25:54,17:25:59,1714,18,Tekniker,0,0,0
59_5902_1_61200,17:27:29,17:27:34,2667,19,,0,0,0
59_5905_4_46800,13:00:00,13:00:05,993,1,Barrena,0,0,0
59_5905_4_46800,13:00:37,13:00:42,1421,2,Urkizu,0,0,0
59_5905_4_46800,13:02:00,13:02:05,851,3,Errebal,0,0,0
