route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
25,4,25_2502_4_29100,,Hondarribi,0,,shp_25_2502,0,0
5,3,5_512_3_39300,,Err-beraun,1,,shp_5_512,0,0
25,2,25_2502_2_65100,,Hondarribi,0,,shp_25_2502,0,0
2,3,2_201_3_34500,,Donostia,0,,shp_2_201,0,0
22,1,22_2202_1_65700,,Hondarribi,1,,shp_22_2202,0,0
25,2,25_2503_2_58800,,Irun,0,,shp_25_2503,0,0
26,2,26_2602_2_49500,,Irun,1,,shp_26_2602,0,0
27,2,27_2703_2_68100,,Donostia,0,,shp_27_2703,0,0
3,4,3_302_4_41700,,P.donibane,1,,shp_3_302,0,0
2,1,2_201_1_70500,,Donostia,0,,shp_2_201,0,0
25,3,25_2503_3_50700,,Irun,0,,shp_25_2503,0,0
28,1,28_2809_1_52800,,Donostia,0,,shp_28_2809,0,0
3,3,3_302_3_70500,,P.donibane,1,,shp_3_302,0,0
21,2,21_2101_2_52800,,Donostia,0,,shp_21_2101,0,0
9,3,9_902_3_81000,,P.sn Pedro,1,,shp_9_902,0,0
27,3,27_2702_3_60300,,Hondarribi,1,,shp_27_2702,0,0
27,2,27_2704_2_60900,,Hondarribi,1,,shp_27_2704,0,0
28,2,28_2809_2_45600,,Donostia,0,,shp_28_2809,0,0
5,4,5_511_4_31500,,Donostia,0,,shp_5_511,0,0
1,4,1 _101_4_62100,,Donostia,0,,shp_1 _101,0,0
5,2,5_511_2_68400,,Donostia,0,,shp_5_511,0,0
27,3,27_2702_3_43020,,Hondarribi,1,,shp_27_2702,0,0
1,4,1 _102_4_40200,,P.donibane,1,,shp_1 _102,0,0
5,2,5_512_2_51720,,Err-beraun,1,,shp_5_512,0,0
78,4,78 _7802_4_7200,,Hondarribi,0,,shp_78 _7802,0,0
9,4,9_902_4_60000,,P.sn Pedro,1,,shp_9_902,0,0
1,4,1 _101_4_37980,,Donostia,0,,shp_1 _101,0,0
21,2,21_2104_2_80400,,Hondarribi,1,,shp_21_2104,0,0
26,2,26_2602_2_27900,,Irun,1,,shp_26_2602,0,0
9,4,9_901_4_39600,,Donostia,0,,shp_9_901,0,0
25,3,25_2502_3_36300,,Hondarribi,0,,shp_25_2502,0,0
25,1,25_2502_1_72300,,Hondarribi,0,,shp_25_2502,0,0
9,4,9_901_4_66300,,Donostia,0,,shp_9_901,0,0
2,4,2_204_4_61800,,Donostia,0,,shp_2_204,0,0
25,3,25_2503_3_72300,,Irun,0,,shp_25_2503,0,0
9,2,9_902_2_25200,,P.sn Pedro,1,,shp_9_902,0,0
2,2,2_201_2_41700,,Donostia,0,,shp_2_201,0,0
9,1,9_902_1_54000,,P.sn Pedro,1,,shp_9_902,0,0
26,2,26_2601_2_34200,,Donostia,0,,shp_26_2601,0,0
25,2,25_2502_2_43500,,Hondarribi,0,,shp_25_2502,0,0
4,1,4 _418_1_74400,,Oiartzun,1,,shp_4 _418,0,0
25,4,25_2503_4_43500,,Irun,0,,shp_25_2503,0,0
8,3,8_801_3_46800,,Donostia,0,,shp_8_801,0,0
26,1,26_2602_1_56700,,Irun,1,,shp_26_2602,0,0
27,1,27_2703_1_75300,,Donostia,0,,shp_27_2703,0,0
2,3,2_201_3_56100,,Donostia,0,,shp_2_201,0,0
5,1,5_512_1_58020,,Err-beraun,1,,shp_5_512,0,0
2,2,2_201_2_63300,,Donostia,0,,shp_2_201,0,0
5,3,5_511_3_39600,,Donostia,0,,shp_5_511,0,0
9,1,9_901_1_69900,,Donostia,0,,shp_9_901,0,0
5,2,5_511_2_46800,,Donostia,0,,shp_5_511,0,0
5,1,5_511_1_75600,,Donostia,0,,shp_5_511,0,0
1,4,1 _101_4_68100,,Donostia,0,,shp_1 _101,0,0
2,2,2_201_2_69300,,Donostia,0,,shp_2_201,0,0
5,2,5_512_2_29220,,Err-beraun,1,,shp_5_512,0,0
26,1,26_2601_1_41400,,Donostia,0,,shp_26_2601,0,0
6,1,6_605_1_30600,,Astigarrag,0,,shp_6_605,0,0
21,3,21_2101_3_72300,,Donostia,0,,shp_21_2101,0,0
25,2,25_2504_2_71400,,Hondarribi,1,,shp_25_2504,0,0
