fare_id,route_id,origin_id,destination_id,contains_id
Ocasional_1.9,11,8,3,
Ocasional_1.9,11,8,4,
Ocasional_1.9,11,8,11,
Ocasional_1.9,11,8,7,
Ocasional_1.9,11,8,10,
Ocasional_1.9,11,3,8,
Ocasional_1.9,11,3,4,
Ocasional_1.9,11,3,1,
Ocasional_1.9,11,4,8,
Ocasional_1.9,11,4,3,
Ocasional_1.9,11,1,3,
Ocasional_1.9,11,11,8,
Ocasional_1.9,11,11,7,
Ocasional_1.9,11,7,8,
Ocasional_1.9,11,7,11,
Ocasional_1.9,11,10,8,
Ocasional_1.9,44,8,3,
Ocasional_1.9,44,8,4,
Ocasional_1.9,44,8,11,
Ocasional_1.9,44,8,7,
Ocasional_1.9,44,8,10,
Ocasional_1.9,44,3,8,
Ocasional_1.9,44,3,4,
Ocasional_1.9,44,3,1,
Ocasional_1.9,44,4,8,
Ocasional_1.9,44,4,3,
Ocasional_1.9,44,1,3,
Ocasional_1.9,44,11,8,
Ocasional_1.9,44,11,7,
Ocasional_1.9,44,7,8,
Ocasional_1.9,44,7,11,
Ocasional_1.9,44,10,8,
Ocasional_1.9,49,8,3,
Ocasional_1.9,49,8,4,
Ocasional_1.9,49,8,11,
Ocasional_1.9,49,8,7,
Ocasional_1.9,49,8,10,
Ocasional_1.9,49,3,8,
Ocasional_1.9,49,3,4,
Ocasional_1.9,49,3,1,
Ocasional_1.9,49,4,8,
Ocasional_1.9,49,4,3,
Ocasional_1.9,49,1,3,
Ocasional_1.9,49,11,8,
Ocasional_1.9,49,11,7,
Ocasional_1.9,49,7,8,
Ocasional_1.9,49,7,11,
Ocasional_1.9,49,10,8,
Ocasional_1.9,1,8,3,
Ocasional_1.9,1,8,4,
Ocasional_1.9,1,8,11,
Ocasional_1.9,1,8,7,
Ocasional_1.9,1,8,10,
Ocasional_1.9,1,3,8,
Ocasional_1.9,1,3,4,
Ocasional_1.9,1,3,1,
Ocasional_1.9,1,4,8,
Ocasional_1.9,1,4,3,
Ocasional_1.9,1,1,3,
Ocasional_1.9,1,11,8,
Ocasional_1.9,1,11,7,
Ocasional_1.9,1,7,8,
Ocasional_1.9,1,7,11,
Ocasional_1.9,1,10,8,
Ocasional_1.9,2,8,3,
Ocasional_1.9,2,8,4,
Ocasional_1.9,2,8,11,
Ocasional_1.9,2,8,7,
Ocasional_1.9,2,8,10,
Ocasional_1.9,2,3,8,
Ocasional_1.9,2,3,4,
Ocasional_1.9,2,3,1,
Ocasional_1.9,2,4,8,
Ocasional_1.9,2,4,3,
Ocasional_1.9,2,1,3,
Ocasional_1.9,2,11,8,
Ocasional_1.9,2,11,7,
Ocasional_1.9,2,7,8,
Ocasional_1.9,2,7,11,
Ocasional_1.9,2,10,8,
Ocasional_1.9,3,8,3,
Ocasional_1.9,3,8,4,
Ocasional_1.9,3,8,11,
Ocasional_1.9,3,8,7,
Ocasional_1.9,3,8,10,
Ocasional_1.9,3,3,8,
Ocasional_1.9,3,3,4,
Ocasional_1.9,3,3,1,
Ocasional_1.9,3,4,8,
Ocasional_1.9,3,4,3,
Ocasional_1.9,3,1,3,
Ocasional_1.9,3,11,8,
Ocasional_1.9,3,11,7,
Ocasional_1.9,3,7,8,
Ocasional_1.9,3,7,11,
Ocasional_1.9,3,10,8,
Ocasional_1.9,4,8,3,
Ocasional_1.9,4,8,4,
Ocasional_1.9,4,8,11,
Ocasional_1.9,4,8,7,
Ocasional_1.9,4,8,10,
Ocasional_1.9,4,3,8,
