route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,39,2_203_39_23100,,Donostia,0,,shp_2_203,0,0
11,42,11_1104_42_49500,,Zumaia,1,,shp_11_1104,0,0
2,39,2_208_39_48000,,Eibar,1,,shp_2_208,0,0
7,40,7_703_40_26700,,Aizarnazab,0,,shp_7_703,0,0
6,42,6_601_42_74400,,Ondarroa,0,,shp_6_601,0,0
9,40,9_902_40_38700,,Zumaia,1,,shp_9_902,0,0
10,40,10_1002_40_43200,,Zumaia,1,,shp_10_1002,0,0
11,39,11_1103_39_45000,,Ospitaleak,0,,shp_11_1103,0,0
4,39,4_404_39_22500,,Mallabia,1,,shp_4_404,0,0
4,40,4_404_40_45000,,Mallabia,1,,shp_4_404,0,0
6,41,6_602_41_78000,,Soraluze,1,,shp_6_602,0,0
2,42,2_217_42_65400,,Donostia,0,,shp_2_217,0,0
7,42,7_704_42_63000,,Zumaia,1,,shp_7_704,0,0
9,41,9_902_41_57600,,Zumaia,1,,shp_9_902,0,0
9,42,9_902_42_28800,,Zumaia,1,,shp_9_902,0,0
9,41,9_902_41_46800,,Zumaia,1,,shp_9_902,0,0
9,40,9_905_40_30000,,Donostia,0,,shp_9_905,0,0
2,41,2_206_41_81300,,Ermua,1,,shp_2_206,0,0
7,40,7_701_40_65400,,Zestoa,0,,shp_7_701,0,0
2,40,2_207_40_25800,,Donostia,0,,shp_2_207,0,0
49,41,49_4902_41_3600,,Zumaia,1,,shp_49_4902,0,0
7,42,7_701_42_29400,,Zestoa,0,,shp_7_701,0,0
2,39,2_207_39_76200,,Donostia,0,,shp_2_207,0,0
4,40,4_416_40_47400,,Ermua,1,,shp_4_416,0,0
2,41,2_205_41_32700,,Donostia,0,,shp_2_205,0,0
10,40,10_1002_40_32400,,Zumaia,1,,shp_10_1002,0,0
1,40,1_102_40_49800,,Eibar,1,,shp_1_102,0,0
11,39,11_1104_39_36900,,Zumaia,1,,shp_11_1104,0,0
11,39,11_1103_39_34200,,Ospitaleak,0,,shp_11_1103,0,0
9,40,9_905_40_35400,,Donostia,0,,shp_9_905,0,0
11,40,11_1103_40_73800,,Ospitaleak,0,,shp_11_1103,0,0
6,39,6_602_39_31200,,Soraluze,1,,shp_6_602,0,0
2,40,2_207_40_36600,,Donostia,0,,shp_2_207,0,0
5,39,5_508_39_40500,,Mutriku,1,,shp_5_508,0,0
4,40,4_416_40_36600,,Ermua,1,,shp_4_416,0,0
10,39,10_1001_39_34200,,Donostia,0,,shp_10_1001,0,0
9,40,9_901_40_50700,,Donostia,0,,shp_9_901,0,0
4,40,4_416_40_25800,,Ermua,1,,shp_4_416,0,0
2,41,2_206_41_66000,,Ermua,1,,shp_2_206,0,0
8,40,8_801_40_54300,,Orio,0,,shp_8_801,0,0
2,40,2_205_40_21600,,Donostia,0,,shp_2_205,0,0
2,41,2_207_41_29400,,Donostia,0,,shp_2_207,0,0
