fare_id,route_id,origin_id,destination_id,contains_id
Ocasional_1.9,11,8,4,
Ocasional_1.9,11,8,3,
Ocasional_1.9,11,4,8,
Ocasional_1.9,11,4,3,
Ocasional_1.9,11,4,2,
Ocasional_1.9,11,3,8,
Ocasional_1.9,11,3,4,
Ocasional_1.9,11,3,1,
Ocasional_1.9,11,2,4,
Ocasional_1.9,11,2,5,
Ocasional_1.9,11,2,1,
Ocasional_1.9,11,5,2,
Ocasional_1.9,11,1,3,
Ocasional_1.9,11,1,2,
Ocasional_1.9,12,8,4,
Ocasional_1.9,12,8,3,
Ocasional_1.9,12,4,8,
Ocasional_1.9,12,4,3,
Ocasional_1.9,12,4,2,
Ocasional_1.9,12,3,8,
Ocasional_1.9,12,3,4,
Ocasional_1.9,12,3,1,
Ocasional_1.9,12,2,4,
Ocasional_1.9,12,2,5,
Ocasional_1.9,12,2,1,
Ocasional_1.9,12,5,2,
Ocasional_1.9,12,1,3,
Ocasional_1.9,12,1,2,
Ocasional_1.9,45,8,4,
Ocasional_1.9,45,8,3,
Ocasional_1.9,45,4,8,
Ocasional_1.9,45,4,3,
Ocasional_1.9,45,4,2,
Ocasional_1.9,45,3,8,
Ocasional_1.9,45,3,4,
Ocasional_1.9,45,3,1,
Ocasional_1.9,45,2,4,
Ocasional_1.9,45,2,5,
Ocasional_1.9,45,2,1,
Ocasional_1.9,45,5,2,
Ocasional_1.9,45,1,3,
Ocasional_1.9,45,1,2,
Ocasional_1.9,13,8,4,
Ocasional_1.9,13,8,3,
Ocasional_1.9,13,4,8,
Ocasional_1.9,13,4,3,
Ocasional_1.9,13,4,2,
Ocasional_1.9,13,3,8,
Ocasional_1.9,13,3,4,
Ocasional_1.9,13,3,1,
Ocasional_1.9,13,2,4,
Ocasional_1.9,13,2,5,
Ocasional_1.9,13,2,1,
Ocasional_1.9,13,5,2,
Ocasional_1.9,13,1,3,
Ocasional_1.9,13,1,2,
Ocasional_1.9,46,8,4,
Ocasional_1.9,46,8,3,
Ocasional_1.9,46,4,8,
Ocasional_1.9,46,4,3,
Ocasional_1.9,46,4,2,
Ocasional_1.9,46,3,8,
Ocasional_1.9,46,3,4,
Ocasional_1.9,46,3,1,
Ocasional_1.9,46,2,4,
