route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
12,1,12_204_1_66600,,Azpeitia,1,,shp_12_204,0,0
16,26,16_602_26_29400,,Zumaia,1,,shp_16_602,0,0
11,3,11_102_3_57900,,Azkoitia,1,,shp_11_102,0,0
11,1,11_101_1_65700,,Donostia,0,,shp_11_101,0,0
12,26,12_205_26_43200,,Errezil,0,,shp_12_205,0,0
11,3,11_102_3_65100,,Azkoitia,1,,shp_11_102,0,0
16,26,16_605_26_81900,,Azkoitia,0,,shp_16_605,0,0
11,26,11_101_26_40500,,Donostia,0,,shp_11_101,0,0
16,2,16_601_2_74700,,Zumarraga,0,,shp_16_601,0,0
11,26,11_101_26_56700,,Donostia,0,,shp_11_101,0,0
12,2,12_202_2_46800,,Azkoitia,1,,shp_12_202,0,0
13,3,13_301_3_39900,,Zarautz,0,,shp_13_301,0,0
15,3,15_501_3_42300,,Ermua,0,,shp_15_501,0,0
16,26,16_606_26_25200,,Zumaia,1,,shp_16_606,0,0
15,26,15_502_26_74400,,Azpeitia,1,,shp_15_502,0,0
46,2,46_4605_2_2700,,Azkoitia,0,,shp_46_4605,0,0
15,26,15_503_26_25800,,Ermua,0,,shp_15_503,0,0
16,2,16_605_2_78300,,Azkoitia,0,,shp_16_605,0,0
11,2,11_102_2_75900,,Azkoitia,1,,shp_11_102,0,0
16,3,16_602_3_43800,,Zumaia,1,,shp_16_602,0,0
13,26,13_301_26_25500,,Zarautz,0,,shp_13_301,0,0
14,26,14_406_26_29100,,Beizama,1,,shp_14_406,0,0
11,26,11_101_26_67500,,Donostia,0,,shp_11_101,0,0
46,3,46_4602_3_21600,,Zumaia,1,,shp_46_4602,0,0
11,3,11_102_3_54300,,Azkoitia,1,,shp_11_102,0,0
11,2,11_102_2_72300,,Azkoitia,1,,shp_11_102,0,0
15,26,15_505_26_60300,,Eibar,0,,shp_15_505,0,0
12,1,12_201_1_61500,,Tolosa,0,,shp_12_201,0,0
12,3,12_204_3_39000,,Azpeitia,1,,shp_12_204,0,0
13,2,13_301_2_65100,,Zarautz,0,,shp_13_301,0,0
13,3,13_301_3_47100,,Zarautz,0,,shp_13_301,0,0
11,2,11_101_2_31500,,Donostia,0,,shp_11_101,0,0
15,3,15_504_3_31200,,Azpeitia,1,,shp_15_504,0,0
11,26,11_102_26_27300,,Azkoitia,1,,shp_11_102,0,0
11,26,11_101_26_53100,,Donostia,0,,shp_11_101,0,0
11,26,11_101_26_45900,,Donostia,0,,shp_11_101,0,0
12,1,12_203_1_65700,,Errezil,0,,shp_12_203,0,0
13,2,13_301_2_54300,,Zarautz,0,,shp_13_301,0,0
16,2,16_606_2_27300,,Zumaia,1,,shp_16_606,0,0
11,26,11_101_26_69300,,Donostia,0,,shp_11_101,0,0
11,1,11_102_1_27300,,Azkoitia,1,,shp_11_102,0,0
13,1,13_301_1_72300,,Zarautz,0,,shp_13_301,0,0
12,1,12_203_1_53700,,Errezil,0,,shp_12_203,0,0
12,3,12_203_3_51000,,Errezil,0,,shp_12_203,0,0
11,1,11_101_1_60300,,Donostia,0,,shp_11_101,0,0
15,26,15_502_26_52800,,Azpeitia,1,,shp_15_502,0,0
11,26,11_102_26_38100,,Azkoitia,1,,shp_11_102,0,0
15,26,15_501_26_63900,,Ermua,0,,shp_15_501,0,0
12,1,12_201_1_23400,,Tolosa,0,,shp_12_201,0,0
14,2,14_406_2_34800,,Beizama,1,,shp_14_406,0,0
16,3,16_602_3_54600,,Zumaia,1,,shp_16_602,0,0
11,26,11_101_26_51300,,Donostia,0,,shp_11_101,0,0
12,26,12_204_26_33900,,Azpeitia,1,,shp_12_204,0,0
16,1,16_602_1_29400,,Zumaia,1,,shp_16_602,0,0
16,3,16_601_3_53100,,Zumarraga,0,,shp_16_601,0,0
11,3,11_102_3_68700,,Azkoitia,1,,shp_11_102,0,0
11,1,11_101_1_51300,,Donostia,0,,shp_11_101,0,0
11,1,11_102_1_36300,,Azkoitia,1,,shp_11_102,0,0
13,1,13_302_1_39900,,Azkoitia,1,,shp_13_302,0,0
