route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,3,1_106_3_27000,,Zegama,1,,shp_1_106,0,0
1,2,1_101_2_55500,,Zaldibia,0,,shp_1_101,0,0
6,3,6_602_3_39300,,Gabiria,1,,shp_6_602,0,0
21,12,21_2104_12_24300,,Altzaga,1,,shp_21_2104,0,0
23,1,23_2301_1_54000,,Ordizia,0,,shp_23_2301,0,0
22,12,22_2202_12_27300,,Mutiloa,1,,shp_22_2202,0,0
21,12,21_2105_12_36000,,Ordizia,0,,shp_21_2105,0,0
1,12,1_107_12_52200,,Zegama,0,,shp_1_107,0,0
4,12,4_415_12_32400,,Legorreta,1,,shp_4_415,0,0
1,1,1_103_1_49200,,Ordizia,0,,shp_1_103,0,0
4,1,4_403_1_42600,,Ataun-sgre,0,,shp_4_403,0,0
1,2,1_102_2_30600,,Zaldibia,0,,shp_1_102,0,0
4,3,4_429_3_71400,,Ataun-kase,0,,shp_4_429,0,0
4,1,4_418_1_59100,,Ordizia,1,,shp_4_418,0,0
6,2,6_603_2_48600,,Itsaso,0,,shp_6_603,0,0
1,3,1_102_3_51900,,Zaldibia,0,,shp_1_102,0,0
4,12,4_421_12_25800,,Beasain,1,,shp_4_421,0,0
1,2,1_105_2_73800,,Zegama,1,,shp_1_105,0,0
23,1,23_2302_1_45300,,Gaintza,1,,shp_23_2302,0,0
6,2,6_601_2_66000,,Ormaiztegi,0,,shp_6_601,0,0
4,2,4_408_2_80100,,Juan>lazk,0,,shp_4_408,0,0
4,3,4_418_3_77700,,Ordizia,1,,shp_4_418,0,0
6,3,6_601_3_48000,,Ormaiztegi,0,,shp_6_601,0,0
1,1,1_109_1_58500,,Zegama,1,,shp_1_109,0,0
4,2,4_414_2_72000,,Legorreta,1,,shp_4_414,0,0
21,2,21_2103_2_54600,,Ordizia,0,,shp_21_2103,0,0
5,12,5_502_12_28800,,Lazkao,1,,shp_5_502,0,0
5,3,5_502_3_79200,,Lazkao,1,,shp_5_502,0,0
4,1,4_405_1_69000,,Ataun-aia,0,,shp_4_405,0,0
6,1,6_602_1_49200,,Gabiria,1,,shp_6_602,0,0
22,12,22_2201_12_27000,,Segura,0,,shp_22_2201,0,0
5,2,5_511_2_68400,,Zumarraga,0,,shp_5_511,0,0
21,2,21_2108_2_59700,,Altzaga,1,,shp_21_2108,0,0
6,3,6_608_3_45600,,Ezkio,1,,shp_6_608,0,0
4,1,4_407_1_61500,,Ataun-sgre,0,,shp_4_407,0,0
6,3,6_606_3_70500,,Ormaiztegi,0,,shp_6_606,0,0
1,3,1_102_3_62700,,Zaldibia,0,,shp_1_102,0,0
4,2,4_415_2_28800,,Legorreta,1,,shp_4_415,0,0
1,12,1_101_12_51000,,Zaldibia,0,,shp_1_101,0,0
22,2,22_2201_2_58800,,Segura,0,,shp_22_2201,0,0
6,1,6_607_1_27300,,Zumarraga,0,,shp_6_607,0,0
21,2,21_2104_2_53700,,Altzaga,1,,shp_21_2104,0,0
4,12,4_418_12_59100,,Ordizia,1,,shp_4_418,0,0
5,12,5_512_12_36000,,Lazkao,1,,shp_5_512,0,0
6,12,6_608_12_67200,,Ezkio,1,,shp_6_608,0,0
1,1,1_103_1_62100,,Ordizia,0,,shp_1_103,0,0
21,2,21_2102_2_39600,,Altzaga,1,,shp_21_2102,0,0
41,3,41_4112_3_11700,,Ataun,1,,shp_41_4112,0,0
6,2,6_608_2_69600,,Ezkio,1,,shp_6_608,0,0
1,1,1_103_1_74700,,Ordizia,0,,shp_1_103,0,0
1,1,1_101_1_60300,,Zaldibia,0,,shp_1_101,0,0
6,2,6_603_2_74700,,Itsaso,0,,shp_6_603,0,0
4,12,4_406_12_59100,,Ataun-kase,0,,shp_4_406,0,0
5,12,5_511_12_61200,,Zumarraga,0,,shp_5_511,0,0
5,3,5_511_3_39600,,Zumarraga,0,,shp_5_511,0,0
