trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2_202_2_4500,01:15:00,01:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_4500,01:17:10,01:17:15,5547,2,,0,0,0
2_201_2_73800,20:30:00,20:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_73800,20:31:20,20:31:25,1381,2,,0,0,0
2_202_1_4500,01:15:00,01:15:05,1381,1,Zinkoenea,0,0,0
2_202_1_4500,01:17:10,01:17:15,5547,2,,0,0,0
2_201_1_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_48600,13:31:20,13:31:25,1381,2,,0,0,0
2_201_2_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_48600,13:31:20,13:31:25,1381,2,,0,0,0
2_202_2_84600,23:30:00,23:30:05,1381,1,Zinkoenea,0,0,0
2_202_2_84600,23:32:10,23:32:15,5547,2,,0,0,0
2_202_2_62100,17:15:00,17:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_62100,17:17:10,17:17:15,5547,2,,0,0,0
2_201_2_75600,21:00:00,21:00:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_75600,21:01:20,21:01:25,1381,2,,0,0,0
2_202_1_64800,18:00:00,18:00:05,1381,1,Zinkoenea,0,0,0
2_202_1_64800,18:02:10,18:02:15,5547,2,,0,0,0
2_201_2_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_51300,14:16:20,14:16:25,1381,2,,0,0,0
2_202_2_64800,18:00:00,18:00:05,1381,1,Zinkoenea,0,0,0
2_202_2_64800,18:02:10,18:02:15,5547,2,,0,0,0
2_201_1_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_51300,14:16:20,14:16:25,1381,2,,0,0,0
1_102_1_29100,08:05:00,08:05:05,5563,1,Zikuñaga Auzoa,0,0,0
1_102_1_29100,08:06:05,08:06:10,5564,2,Karabel Biribilgunea,0,0,0
1_102_1_29100,08:07:53,08:07:58,1734,3,Zinkoenea,0,0,0
1_102_1_29100,08:09:25,08:09:30,5547,4,Florida 23 (lidl),0,0,0
1_102_1_29100,08:10:13,08:10:18,5548,5,Florida 69 ( Etxe Haundi),0,0,0
1_102_1_29100,08:11:25,08:11:30,5549,6,Florida 100,0,0,0
1_102_1_29100,08:12:03,08:12:08,5550,7,Etxeberri (frontoia),0,0,0
1_102_1_29100,08:12:56,08:13:01,5551,8,Cumbre,0,0,0
1_102_1_29100,08:13:37,08:13:42,5552,9,Bestizan,0,0,0
1_102_1_29100,08:14:16,08:14:21,5553,10,Bolatoki,0,0,0
1_102_1_29100,08:15:04,08:15:09,5554,11,Florida 69 (etxe Haundi 2),0,0,0
1_102_1_29100,08:15:31,08:15:36,5555,12,Sagastialde,0,0,0
1_102_1_29100,08:16:09,08:16:14,5556,13,Antziola,0,0,0
1_102_1_29100,08:17:20,08:17:25,5557,14,Antziola Auzoa 17,0,0,0
1_102_1_29100,08:17:48,08:17:53,2501,15,Antziola 10,0,0,0
1_102_1_29100,08:18:52,08:18:57,2516,16,Urbieta Kalea,0,0,0
1_102_1_29100,08:20:05,08:20:10,5177,17,Izpizua Kalea - Aratz Ikastetxea,0,0,0
1_102_1_29100,08:21:09,08:21:14,4102,18,Elkano,0,0,0
1_102_1_29100,08:22:13,08:22:18,5558,19,,0,0,0
2_201_1_73800,20:30:00,20:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_73800,20:31:20,20:31:25,1381,2,,0,0,0
2_202_2_86400,24:00:00,24:00:05,1381,1,Zinkoenea,0,0,0
2_202_2_86400,24:02:10,24:02:15,5547,2,,0,0,0
1_104_1_57600,16:00:00,16:00:05,5558,1,Zinkoenea,0,0,0
1_104_1_57600,16:01:07,16:01:12,5547,2,Florida 23 (lidl),0,0,0
1_104_1_57600,16:01:55,16:02:00,5548,3,Florida 69 ( Etxe Haundi),0,0,0
1_104_1_57600,16:03:07,16:03:12,5549,4,Florida 100,0,0,0
1_104_1_57600,16:03:45,16:03:50,5550,5,Etxeberri (frontoia),0,0,0
1_104_1_57600,16:04:38,16:04:43,5551,6,Cumbre,0,0,0
1_104_1_57600,16:05:19,16:05:24,5552,7,Bestizan,0,0,0
1_104_1_57600,16:05:58,16:06:03,5553,8,Bolatoki,0,0,0
1_104_1_57600,16:06:46,16:06:51,5554,9,Florida 69 (etxe Haundi 2),0,0,0
1_104_1_57600,16:07:13,16:07:18,5555,10,Sagastialde,0,0,0
1_104_1_57600,16:07:51,16:07:56,5556,11,Antziola,0,0,0
1_104_1_57600,16:09:02,16:09:07,5557,12,Antziola Auzoa 17,0,0,0
1_104_1_57600,16:09:30,16:09:35,2501,13,Antziola 10,0,0,0
1_104_1_57600,16:10:34,16:10:39,2516,14,Urbieta Kalea,0,0,0
1_104_1_57600,16:11:47,16:11:52,5177,15,Izpizua Kalea - Aratz Ikastetxea,0,0,0
1_104_1_57600,16:12:51,16:12:56,4102,16,Elkano,0,0,0
1_104_1_57600,16:13:55,16:14:00,5558,17,,0,0,0
2_201_2_77400,21:30:00,21:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_77400,21:31:20,21:31:25,1381,2,,0,0,0
2_201_1_77400,21:30:00,21:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_77400,21:31:20,21:31:25,1381,2,,0,0,0
1_103_1_30900,08:35:00,08:35:05,5558,1,Zinkoenea,0,0,0
1_103_1_30900,08:36:07,08:36:12,5547,2,Florida 23 (lidl),0,0,0
1_103_1_30900,08:36:55,08:37:00,5548,3,Florida 69 ( Etxe Haundi),0,0,0
