trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2_1_1_61200,17:00:00,17:00:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_61200,17:00:38,17:00:43,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_61200,17:03:56,17:04:01,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_61200,17:04:26,17:04:31,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_61200,17:05:16,17:05:21,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_61200,17:06:19,17:06:24,408,6,Nagusia 63,0,0,0
2_1_1_61200,17:07:13,17:07:18,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_61200,17:08:02,17:08:07,215,8,Bekokale Lasarte,0,0,0
2_1_1_61200,17:08:51,17:08:56,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_61200,17:09:28,17:09:33,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_61200,17:10:18,17:10:23,7489,11,Buenos Aires,0,0,0
2_1_1_61200,17:10:36,17:10:41,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_61200,17:11:00,17:11:05,232,13,Osina Kalea,0,0,0
2_1_1_61200,17:12:00,17:12:05,7487,14,Pepenea Kalea,0,0,0
2_1_1_61200,17:12:24,17:12:29,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_61200,17:13:24,17:13:29,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_61200,17:13:36,17:13:41,7485,17,Goiegi,0,0,0
2_1_1_61200,17:14:43,17:14:48,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_61200,17:15:51,17:15:56,361,19,Kale Nagusia 4,0,0,0
2_1_1_61200,17:17:00,17:17:05,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_61200,17:18:27,17:18:32,212,21,Dia,0,0,0
2_1_1_61200,17:19:14,17:19:19,4564,22,Kale Nagusia 70,0,0,0
2_1_1_61200,17:19:55,17:20:00,384,23,Arranbide,0,0,0
2_1_1_61200,17:20:53,17:20:58,7490,24,Txartel,0,0,0
2_1_1_61200,17:21:05,17:21:10,4565,25,Basaundi,0,0,0
2_1_1_61200,17:22:04,17:22:09,2607,26,Iturrigoxo,0,0,0
2_1_1_61200,17:23:12,17:23:17,2608,27,Oria Gaina,0,0,0
2_1_1_61200,17:23:56,17:24:01,2609,28,Oria Hiribidea,0,0,0
2_1_1_61200,17:24:52,17:24:57,386,29,Txitxardin,0,0,0
2_1_1_61200,17:32:36,17:32:41,4567,30,,0,0,0
2_1_1_45000,12:30:00,12:30:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_45000,12:30:38,12:30:43,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_45000,12:33:56,12:34:01,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_45000,12:34:26,12:34:31,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_45000,12:35:16,12:35:21,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_45000,12:36:19,12:36:24,408,6,Nagusia 63,0,0,0
2_1_1_45000,12:37:13,12:37:18,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_45000,12:38:02,12:38:07,215,8,Bekokale Lasarte,0,0,0
2_1_1_45000,12:38:51,12:38:56,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_45000,12:39:28,12:39:33,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_45000,12:40:18,12:40:23,7489,11,Buenos Aires,0,0,0
2_1_1_45000,12:40:36,12:40:41,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_45000,12:41:00,12:41:05,232,13,Osina Kalea,0,0,0
2_1_1_45000,12:42:00,12:42:05,7487,14,Pepenea Kalea,0,0,0
2_1_1_45000,12:42:24,12:42:29,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_45000,12:43:24,12:43:29,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_45000,12:43:36,12:43:41,7485,17,Goiegi,0,0,0
2_1_1_45000,12:44:43,12:44:48,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_45000,12:45:51,12:45:56,361,19,Kale Nagusia 4,0,0,0
2_1_1_45000,12:47:00,12:47:05,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_45000,12:48:27,12:48:32,212,21,Dia,0,0,0
2_1_1_45000,12:49:14,12:49:19,4564,22,Kale Nagusia 70,0,0,0
2_1_1_45000,12:49:55,12:50:00,384,23,Arranbide,0,0,0
2_1_1_45000,12:50:53,12:50:58,7490,24,Txartel,0,0,0
2_1_1_45000,12:51:05,12:51:10,4565,25,Basaundi,0,0,0
2_1_1_45000,12:52:04,12:52:09,2607,26,Iturrigoxo,0,0,0
2_1_1_45000,12:53:12,12:53:17,2608,27,Oria Gaina,0,0,0
2_1_1_45000,12:53:56,12:54:01,2609,28,Oria Hiribidea,0,0,0
2_1_1_45000,12:54:52,12:54:57,386,29,Txitxardin,0,0,0
2_1_1_45000,13:02:36,13:02:41,4567,30,,0,0,0
2_1_1_31200,08:40:00,08:40:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_31200,08:40:38,08:40:43,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_31200,08:43:56,08:44:01,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_31200,08:44:26,08:44:31,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_31200,08:45:16,08:45:21,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_31200,08:46:19,08:46:24,408,6,Nagusia 63,0,0,0
2_1_1_31200,08:47:13,08:47:18,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_31200,08:48:02,08:48:07,215,8,Bekokale Lasarte,0,0,0
2_1_1_31200,08:48:51,08:48:56,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_31200,08:49:28,08:49:33,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_31200,08:50:18,08:50:23,7489,11,Buenos Aires,0,0,0
2_1_1_31200,08:50:36,08:50:41,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_31200,08:51:00,08:51:05,232,13,Osina Kalea,0,0,0
2_1_1_31200,08:52:00,08:52:05,7487,14,Pepenea Kalea,0,0,0
2_1_1_31200,08:52:24,08:52:29,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_31200,08:53:24,08:53:29,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_31200,08:53:36,08:53:41,7485,17,Goiegi,0,0,0
2_1_1_31200,08:54:43,08:54:48,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_31200,08:55:51,08:55:56,361,19,Kale Nagusia 4,0,0,0
2_1_1_31200,08:57:00,08:57:05,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_31200,08:58:27,08:58:32,212,21,Dia,0,0,0
2_1_1_31200,08:59:14,08:59:19,4564,22,Kale Nagusia 70,0,0,0
2_1_1_31200,08:59:55,09:00:00,384,23,Arranbide,0,0,0
2_1_1_31200,09:00:53,09:00:58,7490,24,Txartel,0,0,0
2_1_1_31200,09:01:05,09:01:10,4565,25,Basaundi,0,0,0
2_1_1_31200,09:02:04,09:02:09,2607,26,Iturrigoxo,0,0,0
2_1_1_31200,09:03:12,09:03:17,2608,27,Oria Gaina,0,0,0
2_1_1_31200,09:03:56,09:04:01,2609,28,Oria Hiribidea,0,0,0
2_1_1_31200,09:04:52,09:04:57,386,29,Txitxardin,0,0,0
2_1_1_31200,09:12:36,09:12:41,4567,30,,0,0,0
2_1_1_28800,08:00:00,08:00:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_28800,08:00:38,08:00:43,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_28800,08:03:56,08:04:01,20,3,Oria Hiribidea 7 - Eliza,0,0,0
2_1_1_28800,08:04:26,08:04:31,7484,4,"Zirkuitu Ibilbidea, 17 -basaundi",0,0,0
2_1_1_28800,08:05:16,08:05:21,407,5,Kale Nagusia - Oztaran,0,0,0
2_1_1_28800,08:06:19,08:06:24,408,6,Nagusia 63,0,0,0
2_1_1_28800,08:07:13,08:07:18,4556,7,Kale Nagusia 41 - Zumaburu,0,0,0
2_1_1_28800,08:08:02,08:08:07,215,8,Bekokale Lasarte,0,0,0
2_1_1_28800,08:08:51,08:08:56,469,9,Kalbario Bidea (lasarte-oria),0,0,0
2_1_1_28800,08:09:28,08:09:33,231,10,Buenos Aires Aldapa Nº 11,0,0,0
2_1_1_28800,08:10:18,08:10:23,7489,11,Buenos Aires,0,0,0
2_1_1_28800,08:10:36,08:10:41,4559,12,Barrio Zabaleta (lasarte-oria),0,0,0
2_1_1_28800,08:11:00,08:11:05,232,13,Osina Kalea,0,0,0
2_1_1_28800,08:12:00,08:12:05,7487,14,Pepenea Kalea,0,0,0
2_1_1_28800,08:12:24,08:12:29,7488,15,Pinutegi Kale Frente Nº3-5,0,0,0
2_1_1_28800,08:13:24,08:13:29,7486,16,Pinutegi Kalea Nº6-8,0,0,0
2_1_1_28800,08:13:36,08:13:41,7485,17,Goiegi,0,0,0
2_1_1_28800,08:14:43,08:14:48,233,18,Donostia Etorbidea -sasoeta Atsobakar,0,0,0
2_1_1_28800,08:15:51,08:15:56,361,19,Kale Nagusia 4,0,0,0
2_1_1_28800,08:17:00,08:17:05,383,20,Kale Nagusia 40 - Zumaburu,0,0,0
2_1_1_28800,08:18:27,08:18:32,212,21,Dia,0,0,0
2_1_1_28800,08:19:14,08:19:19,4564,22,Kale Nagusia 70,0,0,0
2_1_1_28800,08:19:55,08:20:00,384,23,Arranbide,0,0,0
2_1_1_28800,08:20:53,08:20:58,7490,24,Txartel,0,0,0
2_1_1_28800,08:21:05,08:21:10,4565,25,Basaundi,0,0,0
2_1_1_28800,08:22:04,08:22:09,2607,26,Iturrigoxo,0,0,0
2_1_1_28800,08:23:12,08:23:17,2608,27,Oria Gaina,0,0,0
2_1_1_28800,08:23:56,08:24:01,2609,28,Oria Hiribidea,0,0,0
2_1_1_28800,08:24:52,08:24:57,386,29,Txitxardin,0,0,0
2_1_1_28800,08:32:36,08:32:41,4567,30,,0,0,0
2_1_1_70200,19:30:00,19:30:05,4616,1,Antxisu Bailara 37,0,0,0
2_1_1_70200,19:30:38,19:30:43,405,2,Oria Hiribidea - Zelaialde,0,0,0
2_1_1_70200,19:33:56,19:34:01,20,3,Oria Hiribidea 7 - Eliza,0,0,0
