trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1_1_1_34800,09:40:00,09:40:05,19,1,Talaia,0,0,0
1_1_1_34800,09:41:38,09:41:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_34800,09:42:09,09:42:14,115,3,Aristegi,0,0,0
1_1_1_34800,09:43:00,09:43:05,4106,4,Ugaldetxo,0,0,0
1_1_1_34800,09:44:10,09:44:15,116,5,Ibarre,0,0,0
1_1_1_34800,09:45:00,09:45:05,4986,6,Iturriotz,0,0,0
1_1_1_34800,09:46:00,09:46:05,4987,7,Altzibar Bat,0,0,0
1_1_1_34800,09:46:43,09:46:48,4988,8,Altzibar Bi,0,0,0
1_1_1_34800,09:47:22,09:47:27,4989,9,Elorrondo 1,0,0,0
1_1_1_34800,09:48:18,09:48:23,4985,10,Elorrondo 2,0,0,0
1_1_1_34800,09:49:40,09:49:45,4990,11,Anbulategia,0,0,0
1_1_1_34800,09:51:13,09:51:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_34800,09:51:25,09:51:30,4992,13,Mendin,0,0,0
1_1_1_34800,09:54:16,09:54:21,4993,14,Larrezabaleta,0,0,0
1_1_1_34800,09:57:42,09:57:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_34800,09:58:45,09:58:50,4995,16,,0,0,0
1_1_1_25800,07:10:00,07:10:05,19,1,Talaia,0,0,0
1_1_1_25800,07:11:38,07:11:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_25800,07:12:09,07:12:14,115,3,Aristegi,0,0,0
1_1_1_25800,07:13:00,07:13:05,4106,4,Ugaldetxo,0,0,0
1_1_1_25800,07:14:10,07:14:15,116,5,Ibarre,0,0,0
1_1_1_25800,07:15:00,07:15:05,4986,6,Iturriotz,0,0,0
1_1_1_25800,07:16:00,07:16:05,4987,7,Altzibar Bat,0,0,0
1_1_1_25800,07:16:43,07:16:48,4988,8,Altzibar Bi,0,0,0
1_1_1_25800,07:17:22,07:17:27,4989,9,Elorrondo 1,0,0,0
1_1_1_25800,07:18:18,07:18:23,4985,10,Elorrondo 2,0,0,0
1_1_1_25800,07:19:40,07:19:45,4990,11,Anbulategia,0,0,0
1_1_1_25800,07:21:13,07:21:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_25800,07:21:25,07:21:30,4992,13,Mendin,0,0,0
1_1_1_25800,07:24:16,07:24:21,4993,14,Larrezabaleta,0,0,0
1_1_1_25800,07:27:42,07:27:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_25800,07:28:45,07:28:50,4995,16,,0,0,0
1_1_1_29400,08:10:00,08:10:05,19,1,Talaia,0,0,0
1_1_1_29400,08:11:38,08:11:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_29400,08:12:09,08:12:14,115,3,Aristegi,0,0,0
1_1_1_29400,08:13:00,08:13:05,4106,4,Ugaldetxo,0,0,0
1_1_1_29400,08:14:10,08:14:15,116,5,Ibarre,0,0,0
1_1_1_29400,08:15:00,08:15:05,4986,6,Iturriotz,0,0,0
1_1_1_29400,08:16:00,08:16:05,4987,7,Altzibar Bat,0,0,0
1_1_1_29400,08:16:43,08:16:48,4988,8,Altzibar Bi,0,0,0
1_1_1_29400,08:17:22,08:17:27,4989,9,Elorrondo 1,0,0,0
1_1_1_29400,08:18:18,08:18:23,4985,10,Elorrondo 2,0,0,0
1_1_1_29400,08:19:40,08:19:45,4990,11,Anbulategia,0,0,0
1_1_1_29400,08:21:13,08:21:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_29400,08:21:25,08:21:30,4992,13,Mendin,0,0,0
1_1_1_29400,08:24:16,08:24:21,4993,14,Larrezabaleta,0,0,0
1_1_1_29400,08:27:42,08:27:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_29400,08:28:45,08:28:50,4995,16,,0,0,0
1_1_1_43800,12:10:00,12:10:05,19,1,Talaia,0,0,0
1_1_1_43800,12:11:38,12:11:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_43800,12:12:09,12:12:14,115,3,Aristegi,0,0,0
1_1_1_43800,12:13:00,12:13:05,4106,4,Ugaldetxo,0,0,0
1_1_1_43800,12:14:10,12:14:15,116,5,Ibarre,0,0,0
1_1_1_43800,12:15:00,12:15:05,4986,6,Iturriotz,0,0,0
1_1_1_43800,12:16:00,12:16:05,4987,7,Altzibar Bat,0,0,0
1_1_1_43800,12:16:43,12:16:48,4988,8,Altzibar Bi,0,0,0
1_1_1_43800,12:17:22,12:17:27,4989,9,Elorrondo 1,0,0,0
1_1_1_43800,12:18:18,12:18:23,4985,10,Elorrondo 2,0,0,0
1_1_1_43800,12:19:40,12:19:45,4990,11,Anbulategia,0,0,0
1_1_1_43800,12:21:13,12:21:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_43800,12:21:25,12:21:30,4992,13,Mendin,0,0,0
1_1_1_43800,12:24:16,12:24:21,4993,14,Larrezabaleta,0,0,0
1_1_1_43800,12:27:42,12:27:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_43800,12:28:45,12:28:50,4995,16,,0,0,0
1_1_1_45600,12:40:00,12:40:05,19,1,Talaia,0,0,0
1_1_1_45600,12:41:38,12:41:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_45600,12:42:09,12:42:14,115,3,Aristegi,0,0,0
1_1_1_45600,12:43:00,12:43:05,4106,4,Ugaldetxo,0,0,0
1_1_1_45600,12:44:10,12:44:15,116,5,Ibarre,0,0,0
1_1_1_45600,12:45:00,12:45:05,4986,6,Iturriotz,0,0,0
1_1_1_45600,12:46:00,12:46:05,4987,7,Altzibar Bat,0,0,0
1_1_1_45600,12:46:43,12:46:48,4988,8,Altzibar Bi,0,0,0
1_1_1_45600,12:47:22,12:47:27,4989,9,Elorrondo 1,0,0,0
1_1_1_45600,12:48:18,12:48:23,4985,10,Elorrondo 2,0,0,0
1_1_1_45600,12:49:40,12:49:45,4990,11,Anbulategia,0,0,0
1_1_1_45600,12:51:13,12:51:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_45600,12:51:25,12:51:30,4992,13,Mendin,0,0,0
1_1_1_45600,12:54:16,12:54:21,4993,14,Larrezabaleta,0,0,0
1_1_1_45600,12:57:42,12:57:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_45600,12:58:45,12:58:50,4995,16,,0,0,0
1_1_1_27600,07:40:00,07:40:05,19,1,Talaia,0,0,0
1_1_1_27600,07:41:38,07:41:43,114,2,Mamut Merk.gunea,0,0,0
1_1_1_27600,07:42:09,07:42:14,115,3,Aristegi,0,0,0
1_1_1_27600,07:43:00,07:43:05,4106,4,Ugaldetxo,0,0,0
1_1_1_27600,07:44:10,07:44:15,116,5,Ibarre,0,0,0
1_1_1_27600,07:45:00,07:45:05,4986,6,Iturriotz,0,0,0
1_1_1_27600,07:46:00,07:46:05,4987,7,Altzibar Bat,0,0,0
1_1_1_27600,07:46:43,07:46:48,4988,8,Altzibar Bi,0,0,0
1_1_1_27600,07:47:22,07:47:27,4989,9,Elorrondo 1,0,0,0
1_1_1_27600,07:48:18,07:48:23,4985,10,Elorrondo 2,0,0,0
1_1_1_27600,07:49:40,07:49:45,4990,11,Anbulategia,0,0,0
1_1_1_27600,07:51:13,07:51:18,4991,12,Yon Oñatibia,0,0,0
1_1_1_27600,07:51:25,07:51:30,4992,13,Mendin,0,0,0
1_1_1_27600,07:54:16,07:54:21,4993,14,Larrezabaleta,0,0,0
1_1_1_27600,07:57:42,07:57:47,4994,15,Ganboxa Bidea,0,0,0
1_1_1_27600,07:58:45,07:58:50,4995,16,,0,0,0
