fare_id,route_id,origin_id,destination_id,contains_id
Ocasional_1.9,44,8,7,
Ocasional_1.9,44,8,11,
Ocasional_1.9,44,8,3,
Ocasional_1.9,44,2,5,
Ocasional_1.9,44,2,1,
Ocasional_1.9,44,5,2,
Ocasional_1.9,44,7,8,
Ocasional_1.9,44,7,12,
Ocasional_1.9,44,7,11,
Ocasional_1.9,44,12,7,
Ocasional_1.9,44,12,14,
Ocasional_1.9,44,1,2,
Ocasional_1.9,44,1,3,
Ocasional_1.9,44,11,8,
Ocasional_1.9,44,11,7,
Ocasional_1.9,44,3,8,
Ocasional_1.9,44,3,1,
Ocasional_1.9,44,14,12,
Ocasional_1.9,45,8,7,
Ocasional_1.9,45,8,11,
Ocasional_1.9,45,8,3,
Ocasional_1.9,45,2,5,
Ocasional_1.9,45,2,1,
Ocasional_1.9,45,5,2,
Ocasional_1.9,45,7,8,
Ocasional_1.9,45,7,12,
Ocasional_1.9,45,7,11,
Ocasional_1.9,45,12,7,
Ocasional_1.9,45,12,14,
Ocasional_1.9,45,1,2,
Ocasional_1.9,45,1,3,
Ocasional_1.9,45,11,8,
Ocasional_1.9,45,11,7,
Ocasional_1.9,45,3,8,
Ocasional_1.9,45,3,1,
Ocasional_1.9,45,14,12,
Ocasional_1.9,26,8,7,
Ocasional_1.9,26,8,11,
Ocasional_1.9,26,8,3,
Ocasional_1.9,26,2,5,
Ocasional_1.9,26,2,1,
Ocasional_1.9,26,5,2,
Ocasional_1.9,26,7,8,
Ocasional_1.9,26,7,12,
Ocasional_1.9,26,7,11,
Ocasional_1.9,26,12,7,
Ocasional_1.9,26,12,14,
Ocasional_1.9,26,1,2,
Ocasional_1.9,26,1,3,
Ocasional_1.9,26,11,8,
Ocasional_1.9,26,11,7,
Ocasional_1.9,26,3,8,
Ocasional_1.9,26,3,1,
Ocasional_1.9,26,14,12,
Ocasional_1.9,27,8,7,
Ocasional_1.9,27,8,11,
Ocasional_1.9,27,8,3,
Ocasional_1.9,27,2,5,
Ocasional_1.9,27,2,1,
Ocasional_1.9,27,5,2,
Ocasional_1.9,27,7,8,
Ocasional_1.9,27,7,12,
Ocasional_1.9,27,7,11,
Ocasional_1.9,27,12,7,
Ocasional_1.9,27,12,14,
Ocasional_1.9,27,1,2,
Ocasional_1.9,27,1,3,
Ocasional_1.9,27,11,8,
Ocasional_1.9,27,11,7,
Ocasional_1.9,27,3,8,
Ocasional_1.9,27,3,1,
Ocasional_1.9,27,14,12,
Ocasional_1.9,28,8,7,
Ocasional_1.9,28,8,11,
Ocasional_1.9,28,8,3,
Ocasional_1.9,28,2,5,
Ocasional_1.9,28,2,1,
Ocasional_1.9,28,5,2,
Ocasional_1.9,28,7,8,
Ocasional_1.9,28,7,12,
Ocasional_1.9,28,7,11,
Ocasional_1.9,28,12,7,
Ocasional_1.9,28,12,14,
Ocasional_1.9,28,1,2,
Ocasional_1.9,28,1,3,
Ocasional_1.9,28,11,8,
Ocasional_1.9,28,11,7,
Ocasional_1.9,28,3,8,
Ocasional_1.9,28,3,1,
Ocasional_1.9,28,14,12,
Ocasional_1.9,30,8,7,
Ocasional_1.9,30,8,11,
Ocasional_1.9,30,8,3,
Ocasional_1.9,30,2,5,
Ocasional_1.9,30,2,1,
Ocasional_1.9,30,5,2,
Ocasional_1.9,30,7,8,
Ocasional_1.9,30,7,12,
Ocasional_1.9,30,7,11,
Ocasional_1.9,30,12,7,
Ocasional_1.9,30,12,14,
Ocasional_1.9,30,1,2,
Ocasional_1.9,30,1,3,
Ocasional_1.9,30,11,8,
Ocasional_1.9,30,11,7,
Ocasional_1.9,30,3,8,
Ocasional_1.9,30,3,1,
Ocasional_1.9,30,14,12,
Ocasional_1.9,31,8,7,
Ocasional_1.9,31,8,11,
Ocasional_1.9,31,8,3,
Ocasional_1.9,31,2,5,
Ocasional_1.9,31,2,1,
Ocasional_1.9,31,5,2,
Ocasional_1.9,31,7,8,
Ocasional_1.9,31,7,12,
Ocasional_1.9,31,7,11,
Ocasional_1.9,31,12,7,
Ocasional_1.9,31,12,14,
Ocasional_1.9,31,1,2,
Ocasional_1.9,31,1,3,
Ocasional_1.9,31,11,8,
Ocasional_1.9,31,11,7,
Ocasional_1.9,31,3,8,
Ocasional_1.9,31,3,1,
Ocasional_1.9,31,14,12,
Ocasional_1.9,10,8,7,
Ocasional_1.9,10,8,11,
Ocasional_1.9,10,8,3,
Ocasional_1.9,10,2,5,
Ocasional_1.9,10,2,1,
Ocasional_1.9,10,5,2,
