route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
27,7122022,27_2701_7122022_45000,,Eibar,0,,shp_27_2701,0,0
21,7122022,21_2155_7122022_75000,,Leintz,1,,shp_21_2155,0,0
60,10412023,60_6051_10412023_60300,,Donostia,1,,shp_60_6051,0,0
26,5122021,26_2601_5122021_40500,,Eibar,0,,shp_26_2601,0,0
21,5122021,21_2155_5122021_24900,,Leintz,1,,shp_21_2155,0,0
28,5122021,28_2851_5122021_81900,,Arrasate,1,,shp_28_2851,0,0
30,10412023,30_3052_10412023_70200,,Bergara,1,,shp_30_3052,0,0
20,5122021,20_2051_5122021_68400,,Elgeta,1,,shp_20_2051,0,0
30,7122022,30_3002_7122022_33600,,Zumarraga,0,,shp_30_3002,0,0
45,6122022,45_4501_6122022_83700,,Eibar,0,,shp_45_4501,0,0
28,10412023,28_2851_10412023_81900,,Arrasate,1,,shp_28_2851,0,0
30,5122021,30_3002_5122021_31800,,Zumarraga,0,,shp_30_3002,0,0
11,5122021,11_1101_5122021_48600,,Bilbao,0,,shp_11_1101,0,0
9,10412023,9_901_10412023_27300,,Zum<>leg,0,,shp_9_901,0,0
28,5122021,28_2801_5122021_74400,,Eibar,0,,shp_28_2801,0,0
5,7122022,5_508_7122022_40500,,Eibar,0,,shp_5_508,0,0
27,6122022,27_2753_6122022_80100,,Vi-gasteiz,1,,shp_27_2753,0,0
11,6122022,11_1101_6122022_66600,,Bilbao,0,,shp_11_1101,0,0
5,7122022,5_509_7122022_58500,,Eibar,0,,shp_5_509,0,0
30,5122021,30_3002_5122021_42600,,Zumarraga,0,,shp_30_3002,0,0
11,5122021,11_1101_5122021_59400,,Bilbao,0,,shp_11_1101,0,0
20,7122022,20_2051_7122022_59400,,Elgeta,1,,shp_20_2051,0,0
41,7122022,41_4102_7122022_17700,,Arrasate,0,,shp_41_4102,0,0
9,5122021,9_901_5122021_24900,,Zum<>leg,0,,shp_9_901,0,0
10,10412023,10_1004_10412023_16200,,Bergara,0,,shp_10_1004,0,0
9,10412023,9_901_10412023_38100,,Zum<>leg,0,,shp_9_901,0,0
10,10412023,10_1004_10412023_27000,,Bergara,0,,shp_10_1004,0,0
26,5122021,26_2602_5122021_69300,,Ermua,0,,shp_26_2602,0,0
10,5122021,10_1004_5122021_16200,,Bergara,0,,shp_10_1004,0,0
30,10412023,30_3002_10412023_75000,,Zumarraga,0,,shp_30_3002,0,0
31,5122021,31_3101_5122021_17400,,Zumarraga,1,,shp_31_3101,0,0
