route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
7,2,7_701_2_53400,,Perurena,0,,shp_7_701,0,0
7,1,7_701_1_71400,,Perurena,0,,shp_7_701,0,0
11,3,11_1101_3_41400,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_36600,,Kaputxinoa,0,,shp_11_1101,0,0
7,1,7_701_1_57000,,Perurena,0,,shp_7_701,0,0
7,2,7_701_2_39000,,Perurena,0,,shp_7_701,0,0
33,1,33_3301_1_72600,,Zamalbide,0,,shp_33_3301,0,0
11,1,11_1101_1_63000,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_45000,,Kaputxinoa,0,,shp_11_1101,0,0
1,2,1_101_2_15300,,Versalles,0,,shp_1_101,0,0
11,2,11_1101_2_37800,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_55800,,Kaputxinoa,0,,shp_11_1101,0,0
5,2,5_501_2_70500,,Masti Loid,0,,shp_5_501,0,0
11,2,11_1101_2_60600,,Kaputxinoa,0,,shp_11_1101,0,0
5,3,5_501_3_52500,,Masti Loid,0,,shp_5_501,0,0
22,1,22_2201_1_35100,,Lartzabal,0,,shp_22_2201,0,0
33,1,33_3301_1_73800,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2202_1_66900,,Beraun,1,,shp_22_2202,0,0
11,3,11_1101_3_40200,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_34200,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_52200,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2201_1_38700,,Lartzabal,0,,shp_22_2201,0,0
22,1,22_2202_1_36300,,Beraun,1,,shp_22_2202,0,0
6,2,6_601_2_66000,,Pontika,0,,shp_6_601,0,0
6,3,6_601_3_48000,,Pontika,0,,shp_6_601,0,0
22,1,22_2201_1_27900,,Lartzabal,0,,shp_22_2201,0,0
44,1,44_4401_1_27000,,Masti Loid,0,,shp_44_4401,0,0
11,2,11_1101_2_33000,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_69000,,Zamalbide,0,,shp_33_3301,0,0
33,1,33_3301_1_47400,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2201_1_60300,,Lartzabal,0,,shp_22_2201,0,0
33,1,33_3301_1_59400,,Zamalbide,0,,shp_33_3301,0,0
33,1,33_3301_1_70200,,Zamalbide,0,,shp_33_3301,0,0
6,3,6_601_3_51600,,Pontika,0,,shp_6_601,0,0
22,1,22_2201_1_71100,,Lartzabal,0,,shp_22_2201,0,0
33,1,33_3301_1_48600,,Zamalbide,0,,shp_33_3301,0,0
6,3,6_601_3_62400,,Pontika,0,,shp_6_601,0,0
33,1,33_3301_1_58200,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2201_1_63900,,Lartzabal,0,,shp_22_2201,0,0
5,3,5_501_3_63300,,Masti Loid,0,,shp_5_501,0,0
5,1,5_501_1_52500,,Masti Loid,0,,shp_5_501,0,0
1,2,1_101_2_83700,,Versalles,0,,shp_1_101,0,0
33,1,33_3301_1_30600,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2202_1_61500,,Beraun,1,,shp_22_2202,0,0
11,1,11_1101_1_36000,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2201_1_54900,,Lartzabal,0,,shp_22_2201,0,0
6,1,6_601_1_35700,,Pontika,0,,shp_6_601,0,0
22,1,22_2202_1_39900,,Beraun,1,,shp_22_2202,0,0
7,1,7_701_1_46200,,Perurena,0,,shp_7_701,0,0
11,2,11_1101_2_58200,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_66600,,Kaputxinoa,0,,shp_11_1101,0,0
1,2,1_101_2_18900,,Versalles,0,,shp_1_101,0,0
7,2,7_701_2_67800,,Perurena,0,,shp_7_701,0,0
11,3,11_1101_3_51000,,Kaputxinoa,0,,shp_11_1101,0,0
22,2,22_2202_2_32700,,Beraun,1,,shp_22_2202,0,0
6,1,6_601_1_32100,,Pontika,0,,shp_6_601,0,0
22,1,22_2202_1_74100,,Beraun,1,,shp_22_2202,0,0
11,2,11_1101_2_61800,,Kaputxinoa,0,,shp_11_1101,0,0
5,3,5_501_3_41700,,Masti Loid,0,,shp_5_501,0,0
5,2,5_501_2_48900,,Masti Loid,0,,shp_5_501,0,0
7,2,7_701_2_42600,,Perurena,0,,shp_7_701,0,0
6,1,6_601_1_75300,,Pontika,0,,shp_6_601,0,0
22,1,22_2201_1_33300,,Lartzabal,0,,shp_22_2201,0,0
5,2,5_501_2_45300,,Masti Loid,0,,shp_5_501,0,0
22,2,22_2201_2_42600,,Lartzabal,0,,shp_22_2201,0,0
7,2,7_701_2_64200,,Perurena,0,,shp_7_701,0,0
7,1,7_701_1_49800,,Perurena,0,,shp_7_701,0,0
11,1,11_1101_1_57600,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_52500,,Beraun,1,,shp_22_2202,0,0
1,2,1_101_2_4500,,Versalles,0,,shp_1_101,0,0
11,1,11_1101_1_39600,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_41400,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2202_1_57900,,Beraun,1,,shp_22_2202,0,0
11,3,11_1101_3_65400,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_78600,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_49800,,Kaputxinoa,0,,shp_11_1101,0,0
22,2,22_2202_2_39900,,Beraun,1,,shp_22_2202,0,0
22,2,22_2202_2_47100,,Beraun,1,,shp_22_2202,0,0
22,1,22_2201_1_51300,,Lartzabal,0,,shp_22_2201,0,0
6,1,6_601_1_53700,,Pontika,0,,shp_6_601,0,0
11,1,11_1101_1_79800,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_72300,,Beraun,1,,shp_22_2202,0,0
22,1,22_2202_1_27300,,Beraun,1,,shp_22_2202,0,0
11,1,11_1101_1_77400,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_69000,,Kaputxinoa,0,,shp_11_1101,0,0
5,1,5_501_1_34500,,Masti Loid,0,,shp_5_501,0,0
6,1,6_601_1_39300,,Pontika,0,,shp_6_601,0,0
22,2,22_2201_2_35400,,Lartzabal,0,,shp_22_2201,0,0
11,3,11_1101_3_47400,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_48600,,Kaputxinoa,0,,shp_11_1101,0,0
6,1,6_601_1_57300,,Pontika,0,,shp_6_601,0,0
11,1,11_1101_1_41400,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_34500,,Beraun,1,,shp_22_2202,0,0
6,1,6_601_1_60900,,Pontika,0,,shp_6_601,0,0
6,3,6_601_3_73200,,Pontika,0,,shp_6_601,0,0
22,1,22_2201_1_49500,,Lartzabal,0,,shp_22_2201,0,0
5,2,5_501_2_41700,,Masti Loid,0,,shp_5_501,0,0
6,1,6_601_1_71700,,Pontika,0,,shp_6_601,0,0
11,1,11_1101_1_30600,,Kaputxinoa,0,,shp_11_1101,0,0
5,3,5_501_3_70500,,Masti Loid,0,,shp_5_501,0,0
5,1,5_501_1_45300,,Masti Loid,0,,shp_5_501,0,0
6,1,6_601_1_42900,,Pontika,0,,shp_6_601,0,0
1,2,1_101_2_11700,,Versalles,0,,shp_1_101,0,0
11,1,11_1101_1_50400,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_45300,,Beraun,1,,shp_22_2202,0,0
6,3,6_601_3_40800,,Pontika,0,,shp_6_601,0,0
11,1,11_1101_1_59400,,Kaputxinoa,0,,shp_11_1101,0,0
2,2,2_201_2_14400,,Zamalbide,0,,shp_2_201,0,0
33,1,33_3301_1_61800,,Zamalbide,0,,shp_33_3301,0,0
5,2,5_501_2_74100,,Masti Loid,0,,shp_5_501,0,0
22,1,22_2201_1_40500,,Lartzabal,0,,shp_22_2201,0,0
11,2,11_1101_2_71400,,Kaputxinoa,0,,shp_11_1101,0,0
2,2,2_201_2_7200,,Zamalbide,0,,shp_2_201,0,0
22,1,22_2202_1_54300,,Beraun,1,,shp_22_2202,0,0
22,1,22_2201_1_31500,,Lartzabal,0,,shp_22_2201,0,0
11,3,11_1101_3_46200,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_70200,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_52800,,Zamalbide,0,,shp_33_3301,0,0
6,2,6_601_2_44400,,Pontika,0,,shp_6_601,0,0
7,3,7_701_3_71400,,Perurena,0,,shp_7_701,0,0
11,3,11_1101_3_45000,,Kaputxinoa,0,,shp_11_1101,0,0
7,1,7_701_1_35400,,Perurena,0,,shp_7_701,0,0
5,1,5_501_1_66900,,Masti Loid,0,,shp_5_501,0,0
11,3,11_1101_3_67800,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_73800,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_63300,,Beraun,1,,shp_22_2202,0,0
7,2,7_701_2_75000,,Perurena,0,,shp_7_701,0,0
11,3,11_1101_3_63000,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_40200,,Zamalbide,0,,shp_33_3301,0,0
33,2,33_3301_2_37800,,Zamalbide,0,,shp_33_3301,0,0
6,2,6_601_2_62400,,Pontika,0,,shp_6_601,0,0
33,2,33_3301_2_34200,,Zamalbide,0,,shp_33_3301,0,0
11,2,11_1101_2_72600,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_64200,,Kaputxinoa,0,,shp_11_1101,0,0
5,1,5_501_1_63300,,Masti Loid,0,,shp_5_501,0,0
11,1,11_1101_1_68400,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_66600,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_43800,,Zamalbide,0,,shp_33_3301,0,0
1,2,1_101_2_8100,,Versalles,0,,shp_1_101,0,0
33,1,33_3301_1_26400,,Zamalbide,0,,shp_33_3301,0,0
33,1,33_3301_1_65400,,Zamalbide,0,,shp_33_3301,0,0
7,2,7_701_2_46200,,Perurena,0,,shp_7_701,0,0
11,1,11_1101_1_70200,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_51000,,Kaputxinoa,0,,shp_11_1101,0,0
7,3,7_701_3_42600,,Perurena,0,,shp_7_701,0,0
7,1,7_701_1_64200,,Perurena,0,,shp_7_701,0,0
2,2,2_201_2_18000,,Zamalbide,0,,shp_2_201,0,0
5,1,5_501_1_56100,,Masti Loid,0,,shp_5_501,0,0
33,1,33_3301_1_66600,,Zamalbide,0,,shp_33_3301,0,0
33,2,33_3301_2_48600,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2201_1_69300,,Lartzabal,0,,shp_22_2201,0,0
22,1,22_2202_1_32700,,Beraun,1,,shp_22_2202,0,0
11,1,11_1101_1_32400,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_52200,,Kaputxinoa,0,,shp_11_1101,0,0
6,2,6_601_2_48000,,Pontika,0,,shp_6_601,0,0
11,2,11_1101_2_43800,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2202_1_70500,,Beraun,1,,shp_22_2202,0,0
5,1,5_501_1_59700,,Masti Loid,0,,shp_5_501,0,0
5,2,5_501_2_63300,,Masti Loid,0,,shp_5_501,0,0
5,3,5_501_3_45300,,Masti Loid,0,,shp_5_501,0,0
7,2,7_701_2_71400,,Perurena,0,,shp_7_701,0,0
1,2,1_101_2_900,,Versalles,0,,shp_1_101,0,0
22,1,22_2202_1_48900,,Beraun,1,,shp_22_2202,0,0
22,1,22_2202_1_59700,,Beraun,1,,shp_22_2202,0,0
22,1,22_2201_1_72900,,Lartzabal,0,,shp_22_2201,0,0
7,1,7_701_1_53400,,Perurena,0,,shp_7_701,0,0
6,1,6_601_1_68100,,Pontika,0,,shp_6_601,0,0
7,3,7_701_3_53400,,Perurena,0,,shp_7_701,0,0
5,2,5_501_2_38100,,Masti Loid,0,,shp_5_501,0,0
7,1,7_701_1_67800,,Perurena,0,,shp_7_701,0,0
11,1,11_1101_1_75600,,Kaputxinoa,0,,shp_11_1101,0,0
7,1,7_701_1_75000,,Perurena,0,,shp_7_701,0,0
7,2,7_701_2_49800,,Perurena,0,,shp_7_701,0,0
5,2,5_501_2_52500,,Masti Loid,0,,shp_5_501,0,0
7,3,7_701_3_39000,,Perurena,0,,shp_7_701,0,0
5,1,5_501_1_70500,,Masti Loid,0,,shp_5_501,0,0
22,1,22_2202_1_56100,,Beraun,1,,shp_22_2202,0,0
5,1,5_501_1_48900,,Masti Loid,0,,shp_5_501,0,0
6,2,6_601_2_51600,,Pontika,0,,shp_6_601,0,0
11,3,11_1101_3_77400,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_73800,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_40200,,Kaputxinoa,0,,shp_11_1101,0,0
7,1,7_701_1_28200,,Perurena,0,,shp_7_701,0,0
22,2,22_2202_2_36300,,Beraun,1,,shp_22_2202,0,0
5,2,5_501_2_66900,,Masti Loid,0,,shp_5_501,0,0
11,2,11_1101_2_63000,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_64200,,Kaputxinoa,0,,shp_11_1101,0,0
6,1,6_601_1_50100,,Pontika,0,,shp_6_601,0,0
22,1,22_2201_1_58500,,Lartzabal,0,,shp_22_2201,0,0
11,1,11_1101_1_76500,,Kaputxinoa,0,,shp_11_1101,0,0
6,2,6_601_2_73200,,Pontika,0,,shp_6_601,0,0
22,1,22_2202_1_43500,,Beraun,1,,shp_22_2202,0,0
5,1,5_501_1_30900,,Masti Loid,0,,shp_5_501,0,0
22,1,22_2201_1_42300,,Lartzabal,0,,shp_22_2201,0,0
33,1,33_3301_1_51000,,Zamalbide,0,,shp_33_3301,0,0
33,1,33_3301_1_55800,,Zamalbide,0,,shp_33_3301,0,0
11,3,11_1101_3_75000,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_41400,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_48600,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_79800,,Kaputxinoa,0,,shp_11_1101,0,0
6,3,6_601_3_66000,,Pontika,0,,shp_6_601,0,0
11,3,11_1101_3_78600,,Kaputxinoa,0,,shp_11_1101,0,0
6,3,6_601_3_44400,,Pontika,0,,shp_6_601,0,0
33,1,33_3301_1_52200,,Zamalbide,0,,shp_33_3301,0,0
33,1,33_3301_1_54600,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2201_1_67500,,Lartzabal,0,,shp_22_2201,0,0
22,1,22_2202_1_30900,,Beraun,1,,shp_22_2202,0,0
22,1,22_2201_1_45900,,Lartzabal,0,,shp_22_2201,0,0
33,2,33_3301_2_45000,,Zamalbide,0,,shp_33_3301,0,0
11,1,11_1101_1_45000,,Kaputxinoa,0,,shp_11_1101,0,0
11,3,11_1101_3_76200,,Kaputxinoa,0,,shp_11_1101,0,0
6,3,6_601_3_69600,,Pontika,0,,shp_6_601,0,0
2,2,2_201_2_3600,,Zamalbide,0,,shp_2_201,0,0
22,1,22_2202_1_65100,,Beraun,1,,shp_22_2202,0,0
11,3,11_1101_3_72600,,Kaputxinoa,0,,shp_11_1101,0,0
33,1,33_3301_1_34200,,Zamalbide,0,,shp_33_3301,0,0
22,1,22_2201_1_36900,,Lartzabal,0,,shp_22_2201,0,0
22,1,22_2201_1_44100,,Lartzabal,0,,shp_22_2201,0,0
11,2,11_1101_2_75000,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_76200,,Kaputxinoa,0,,shp_11_1101,0,0
11,2,11_1101_2_67800,,Kaputxinoa,0,,shp_11_1101,0,0
11,1,11_1101_1_46800,,Kaputxinoa,0,,shp_11_1101,0,0
22,1,22_2201_1_29700,,Lartzabal,0,,shp_22_2201,0,0
5,3,5_501_3_66900,,Masti Loid,0,,shp_5_501,0,0
22,2,22_2201_2_46200,,Lartzabal,0,,shp_22_2201,0,0
5,1,5_501_1_41700,,Masti Loid,0,,shp_5_501,0,0
11,1,11_1101_1_61200,,Kaputxinoa,0,,shp_11_1101,0,0
2,2,2_201_2_2400,,Zamalbide,0,,shp_2_201,0,0
22,2,22_2201_2_39000,,Lartzabal,0,,shp_22_2201,0,0
33,1,33_3301_1_33000,,Zamalbide,0,,shp_33_3301,0,0
11,2,11_1101_2_59400,,Kaputxinoa,0,,shp_11_1101,0,0
7,3,7_701_3_67800,,Perurena,0,,shp_7_701,0,0
7,3,7_701_3_75000,,Perurena,0,,shp_7_701,0,0
6,2,6_601_2_40800,,Pontika,0,,shp_6_601,0,0
11,1,11_1101_1_54000,,Kaputxinoa,0,,shp_11_1101,0,0
6,1,6_601_1_46500,,Pontika,0,,shp_6_601,0,0
7,1,7_701_1_31800,,Perurena,0,,shp_7_701,0,0
