fare_id,route_id,origin_id,destination_id,contains_id
Ocasional_1.9,11,2,1,
Ocasional_1.9,11,1,2,
Ocasional_1.9,12,2,1,
Ocasional_1.9,12,1,2,
Ocasional_1.9,13,2,1,
Ocasional_1.9,13,1,2,
Ocasional_1.9,47,2,1,
Ocasional_1.9,47,1,2,
Ocasional_1.9,2,2,1,
Ocasional_1.9,2,1,2,
Ocasional_1.9,3,2,1,
Ocasional_1.9,3,1,2,
Ocasional_1.9,4,2,1,
Ocasional_1.9,4,1,2,
Ocasional_1.9,5,2,1,
Ocasional_1.9,5,1,2,
Ocasional_1.9,6,2,1,
Ocasional_1.9,6,1,2,
Ocasional_1.9,7,2,1,
Ocasional_1.9,7,1,2,
Ocasional_1.9,8,2,1,
Ocasional_1.9,8,1,2,
Ocasional_1.9,9,2,1,
Ocasional_1.9,9,1,2,
Ocasional_1.9,40,2,1,
Ocasional_1.9,40,1,2,
Ocasional_1.9,41,2,1,
Ocasional_1.9,41,1,2,
Ocasional_1.9,20,2,1,
Ocasional_1.9,20,1,2,
Ocasional_1.9,10,2,1,
Ocasional_1.9,10,1,2,
Ocasional_1.35,11,2,2,
Ocasional_1.35,11,1,1,
Ocasional_1.35,12,2,2,
Ocasional_1.35,12,1,1,
Ocasional_1.35,13,2,2,
Ocasional_1.35,13,1,1,
Ocasional_1.35,47,2,2,
Ocasional_1.35,47,1,1,
Ocasional_1.35,2,2,2,
Ocasional_1.35,2,1,1,
Ocasional_1.35,3,2,2,
Ocasional_1.35,3,1,1,
Ocasional_1.35,4,2,2,
Ocasional_1.35,4,1,1,
Ocasional_1.35,5,2,2,
Ocasional_1.35,5,1,1,
Ocasional_1.35,6,2,2,
Ocasional_1.35,6,1,1,
Ocasional_1.35,7,2,2,
Ocasional_1.35,7,1,1,
Ocasional_1.35,8,2,2,
Ocasional_1.35,8,1,1,
Ocasional_1.35,9,2,2,
Ocasional_1.35,9,1,1,
Ocasional_1.35,40,2,2,
Ocasional_1.35,40,1,1,
Ocasional_1.35,41,2,2,
Ocasional_1.35,41,1,1,
Ocasional_1.35,20,2,2,
Ocasional_1.35,20,1,1,
Ocasional_1.35,10,2,2,
Ocasional_1.35,10,1,1,
