route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3,2,3_302_2_51600,,Tolosa,1,,shp_3_302,0,0
3,21,3_301_21_37800,,Orexa,0,,shp_3_301,0,0
7,21,7_707_21_78000,,Larraul,0,,shp_7_707,0,0
1,3,1_101_3_72000,,Abaltziske,0,,shp_1_101,0,0
2,2,2_201_2_52500,,Berastegi,0,,shp_2_201,0,0
4,2,4_401_2_71100,,Gaztelu,0,,shp_4_401,0,0
1,21,1_101_21_36300,,Abaltziske,0,,shp_1_101,0,0
24,21,24_2401_21_66900,,Abaltziske,1,,shp_24_2401,0,0
22,21,22_2201_21_30000,,Villabona,0,,shp_22_2201,0,0
25,3,25_2501_3_45000,,Altzo,0,,shp_25_2501,0,0
2,22,2_201_22_64800,,Berastegi,0,,shp_2_201,0,0
7,22,7_701_22_28800,,Asteasu,0,,shp_7_701,0,0
8,22,8_802_22_55500,,Larraul,1,,shp_8_802,0,0
29,3,29_2902_3_61200,,Ibar-izask,1,,shp_29_2902,0,0
22,22,22_2202_22_57600,,Zizurkil,1,,shp_22_2202,0,0
21,21,21_2102_21_73800,,Tolosa,1,,shp_21_2102,0,0
8,2,8_801_2_40800,,Aduna,0,,shp_8_801,0,0
25,2,25_2502_2_67500,,Alegia,1,,shp_25_2502,0,0
3,3,3_302_3_31200,,Tolosa,1,,shp_3_302,0,0
1,21,1_102_21_60300,,Tolosa,1,,shp_1_102,0,0
2,21,2_202_21_66000,,Tolosa,1,,shp_2_202,0,0
22,21,22_2201_21_46200,,Villabona,0,,shp_22_2201,0,0
20,22,20_2002_22_26100,,Tolosa,1,,shp_20_2002,0,0
20,2,20_2001_2_29400,,Alkiza,0,,shp_20_2001,0,0
29,3,29_2901_3_61500,,Ibarra,0,,shp_29_2901,0,0
5,2,5_502_2_75600,,Tolosa,1,,shp_5_502,0,0
24,21,24_2401_21_24600,,Abaltziske,1,,shp_24_2401,0,0
29,21,29_2901_21_70800,,Ibarra,0,,shp_29_2901,0,0
4,3,4_402_3_46800,,Tolosa,1,,shp_4_402,0,0
21,3,21_2102_3_73800,,Tolosa,1,,shp_21_2102,0,0
8,21,8_802_21_51900,,Larraul,1,,shp_8_802,0,0
2,22,2_201_22_47100,,Berastegi,0,,shp_2_201,0,0
22,3,22_2201_3_39000,,Villabona,0,,shp_22_2201,0,0
3,3,3_302_3_69000,,Tolosa,1,,shp_3_302,0,0
4,21,4_403_21_52200,,Gaztelu,0,,shp_4_403,0,0
5,3,5_501_3_29400,,Bidania,0,,shp_5_501,0,0
21,21,21_2102_21_60600,,Tolosa,1,,shp_21_2102,0,0
24,2,24_2401_2_32700,,Abaltziske,1,,shp_24_2401,0,0
2,21,2_202_21_54600,,Tolosa,1,,shp_2_202,0,0
25,22,25_2502_22_48600,,Alegia,1,,shp_25_2502,0,0
29,22,29_2902_22_36000,,Ibar-izask,1,,shp_29_2902,0,0
23,3,23_2302_3_32400,,Andoain,0,,shp_23_2302,0,0
5,3,5_502_3_30600,,Tolosa,1,,shp_5_502,0,0
29,3,29_2901_3_49200,,Ibarra,0,,shp_29_2901,0,0
26,21,26_2601_21_56700,,Baliarrain,1,,shp_26_2601,0,0
2,2,2_201_2_28800,,Berastegi,0,,shp_2_201,0,0
1,21,1_101_21_65400,,Abaltziske,0,,shp_1_101,0,0
2,2,2_201_2_48000,,Berastegi,0,,shp_2_201,0,0
25,22,25_2501_22_48300,,Altzo,0,,shp_25_2501,0,0
6,21,6_601_21_48000,,Iba-apatta,0,,shp_6_601,0,0
29,21,29_2901_21_47700,,Ibarra,0,,shp_29_2901,0,0
2,3,2_202_3_49800,,Tolosa,1,,shp_2_202,0,0
3,21,3_302_21_48900,,Tolosa,1,,shp_3_302,0,0
7,22,7_702_22_72000,,Tolosa,1,,shp_7_702,0,0
5,22,5_502_22_66900,,Tolosa,1,,shp_5_502,0,0
26,3,26_2602_3_33600,,Alegia,0,,shp_26_2602,0,0
1,2,1_101_2_47700,,Abaltziske,0,,shp_1_101,0,0
23,22,23_2302_22_32400,,Andoain,0,,shp_23_2302,0,0
5,3,5_502_3_44400,,Tolosa,1,,shp_5_502,0,0
7,21,7_703_21_59400,,Asteasu,0,,shp_7_703,0,0
21,1,21_2102_1_31200,,Tolosa,1,,shp_21_2102,0,0
28,2,28_2802_2_33600,,Amez-ugart,1,,shp_28_2802,0,0
23,2,23_2301_2_28200,,Aduna,1,,shp_23_2301,0,0
8,22,8_802_22_68700,,Larraul,1,,shp_8_802,0,0
23,21,23_2301_21_26400,,Aduna,1,,shp_23_2301,0,0
21,21,21_2102_21_53100,,Tolosa,1,,shp_21_2102,0,0
27,22,27_2702_22_71700,,Villabona,1,,shp_27_2702,0,0
3,22,3_301_22_25200,,Orexa,0,,shp_3_301,0,0
24,3,24_2401_3_29100,,Abaltziske,1,,shp_24_2401,0,0
29,2,29_2901_2_48600,,Ibarra,0,,shp_29_2901,0,0
1,3,1_102_3_73500,,Tolosa,1,,shp_1_102,0,0
5,2,5_501_2_68400,,Bidania,0,,shp_5_501,0,0
4,22,4_404_22_26700,,Tolo-sluzi,1,,shp_4_404,0,0
23,22,23_2301_22_26400,,Aduna,1,,shp_23_2301,0,0
24,22,24_2401_22_28200,,Abaltziske,1,,shp_24_2401,0,0
4,2,4_401_2_46800,,Gaztelu,0,,shp_4_401,0,0
8,21,8_801_21_40800,,Aduna,0,,shp_8_801,0,0
2,22,2_203_22_55800,,Berastegi,0,,shp_2_203,0,0
2,22,2_202_22_58200,,Tolosa,1,,shp_2_202,0,0
2,21,2_202_21_44400,,Tolosa,1,,shp_2_202,0,0
3,3,3_301_3_60600,,Orexa,0,,shp_3_301,0,0
28,21,28_2801_21_24600,,Tol-bedaio,0,,shp_28_2801,0,0
1,3,1_101_3_78000,,Abaltziske,0,,shp_1_101,0,0
24,21,24_2402_21_48900,,Alegia,0,,shp_24_2402,0,0
29,21,29_2901_21_54900,,Ibarra,0,,shp_29_2901,0,0
20,22,20_2002_22_66000,,Tolosa,1,,shp_20_2002,0,0
23,21,23_2302_21_47700,,Andoain,0,,shp_23_2302,0,0
28,21,28_2801_21_53700,,Tol-bedaio,0,,shp_28_2801,0,0
25,21,25_2501_21_25800,,Altzo,0,,shp_25_2501,0,0
26,21,26_2602_21_28500,,Alegia,0,,shp_26_2602,0,0
24,3,24_2401_3_43800,,Abaltziske,1,,shp_24_2401,0,0
5,2,5_501_2_74100,,Bidania,0,,shp_5_501,0,0
29,22,29_2901_22_47700,,Ibarra,0,,shp_29_2901,0,0
1,22,1_102_22_52500,,Tolosa,1,,shp_1_102,0,0
28,21,28_2802_21_57600,,Amez-ugart,1,,shp_28_2802,0,0
2,21,2_201_21_70200,,Berastegi,0,,shp_2_201,0,0
8,21,8_802_21_25800,,Larraul,1,,shp_8_802,0,0
22,21,22_2202_21_38700,,Zizurkil,1,,shp_22_2202,0,0
26,21,26_2602_21_26100,,Alegia,0,,shp_26_2602,0,0
3,22,3_302_22_57600,,Tolosa,1,,shp_3_302,0,0
26,2,26_2601_2_52500,,Baliarrain,1,,shp_26_2601,0,0
5,21,5_502_21_38100,,Tolosa,1,,shp_5_502,0,0
20,3,20_2002_3_45000,,Tolosa,1,,shp_20_2002,0,0
7,22,7_701_22_36600,,Asteasu,0,,shp_7_701,0,0
20,2,20_2001_2_70800,,Alkiza,0,,shp_20_2001,0,0
2,2,2_201_2_73800,,Berastegi,0,,shp_2_201,0,0
