route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,21,1_1104_21_091800,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_1104,0,0
1,21,1_1104_21_121500,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_1104,0,0
1,21,1_1104_21_152000,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_1104,0,0
1,21,1_1104_21_171500,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_1104,0,0
1,21,1_104_21_090000,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_104,0,0
1,21,1_104_21_211500,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_104,0,0
1,21,1_104_21_224500,"KALE NAGUSIA, 70",LASARTE,1,,shp_1_104,0,0
1,21,1_401_21_050000,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_401_21_060000,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_401_21_064000,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_401_21_070500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_401_21_082000,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_401_21_124000,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_1_401,0,0
1,21,1_411_21_114000,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_1_411,0,0
1,21,1_411_21_174500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_1_411,0,0
2,21,2_2003_21_081000,SAN INAZIO,USURBIL,1,,shp_2_2003,0,0
2,21,2_2003_21_111000,SAN INAZIO,USURBIL,1,,shp_2_2003,0,0
2,21,2_2003_21_151000,SAN INAZIO,USURBIL,1,,shp_2_2003,0,0
2,21,2_2003_21_181000,SAN INAZIO,USURBIL,1,,shp_2_2003,0,0
2,21,2_231_21_095000,ERRASTI,USURBIL,1,,shp_2_231,0,0
2,21,2_231_21_135000,ERRASTI,USURBIL,1,,shp_2_231,0,0
2,21,2_231_21_155000,ERRASTI,USURBIL,1,,shp_2_231,0,0
2,21,2_231_21_195000,ERRASTI,USURBIL,1,,shp_2_231,0,0
2,21,2_231_21_221000,ERRASTI,USURBIL,1,,shp_2_231,0,0
2,21,2_203_21_085000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_203_21_115000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_203_21_125000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_203_21_165000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_203_21_185000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_203_21_205000,SAN INAZIO,USURBIL,1,,shp_2_203,0,0
2,21,2_110_21_071500,ZUBIETA ESKOLAK (DONOSTIA),DON-ZUBIET,1,,shp_2_110,0,0
2,21,2_3102_21_071700,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_3102,0,0
2,21,2_3102_21_101700,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_3102,0,0
2,21,2_3102_21_141700,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_3102,0,0
2,21,2_3102_21_161700,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_3102,0,0
2,21,2_3102_21_201700,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_3102,0,0
2,21,2_302_21_082000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_092000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_112000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_122000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_132000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_152000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_172000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_182000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_192000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_302_21_212000,"BEGIRISTAIN DOKTOREA, 115 - OSPITALEA",OSPITALEAK,0,,shp_2_302,0,0
2,21,2_1001_21_075500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_2_1001,0,0
3,21,3_501_21_052500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_062500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_070500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_073500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_080500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_083500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_090500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_093500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_100500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_103500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_110500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_113500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_120500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_130500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_133500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_140500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_143500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_150500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_153500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_160500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_163500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_170500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_173500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_180500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_183500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_203500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_210500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_501_21_220500,"ASKATASUNAREN HIRIBIDEA, 28",DONOSTIA,0,,shp_3_501,0,0
3,21,3_511_21_071500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_074500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_081500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_084800,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_091500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_123500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_133500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_144800,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_151500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_161500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_190500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_193500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_511_21_200500,"ASKATASUNAREN HIRIBIDEA, 28",DON-AMARA,0,,shp_3_511,0,0
3,21,3_1105_21_073500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_074500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_081800,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_083500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_084500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_090500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_131500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_141500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_155000,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_181500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_191500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_1105_21_201500,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_1105,0,0
3,21,3_105_21_080000,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_105,0,0
3,21,3_105_21_083000,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_105,0,0
3,21,3_105_21_093000,"KARRIKA KALEA, 1",ANDOAIN,1,,shp_3_105,0,0
