route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,1,01_101_1_27000,,,0,,shp_01_101,0,0
02,2,02_201_2_26100,,,0,,shp_02_201,0,0
01,3,01_102_3_73800,,,0,,shp_01_102,0,0
02,2,02_201_2_33300,,,0,,shp_02_201,0,0
02,1,02_201_1_36900,,,0,,shp_02_201,0,0
02,1,02_201_1_44100,,,0,,shp_02_201,0,0
02,2,02_201_2_40500,,,0,,shp_02_201,0,0
02,1,02_202_1_49500,,,0,,shp_02_202,0,0
02,3,02_205_3_51300,,,0,,shp_02_205,0,0
01,2,01_101_2_39600,,,0,,shp_01_101,0,0
01,1,01_103_1_77400,,,0,,shp_01_103,0,0
01,1,01_104_1_66600,,,0,,shp_01_104,0,0
01,1,01_101_1_57600,,,0,,shp_01_101,0,0
02,1,02_203_1_45900,,,0,,shp_02_203,0,0
02,1,02_205_1_47700,,,0,,shp_02_205,0,0
02,1,02_205_1_65700,,,0,,shp_02_205,0,0
01,1,01_101_1_72000,,,0,,shp_01_101,0,0
02,1,02_203_1_38700,,,0,,shp_02_203,0,0
02,2,02_201_2_71100,,,0,,shp_02_201,0,0
02,3,02_201_3_53100,,,0,,shp_02_201,0,0
01,1,01_104_1_50400,,,0,,shp_01_104,0,0
01,1,01_104_1_73800,,,0,,shp_01_104,0,0
02,1,02_203_1_60300,,,0,,shp_02_203,0,0
01,3,01_102_3_66600,,,0,,shp_01_102,0,0
01,3,01_101_3_50400,,,0,,shp_01_101,0,0
01,3,01_101_3_59400,,,0,,shp_01_101,0,0
02,2,02_203_2_45900,,,0,,shp_02_203,0,0
02,1,02_205_1_42300,,,0,,shp_02_205,0,0
01,1,01_104_1_63000,,,0,,shp_01_104,0,0
01,3,01_101_3_30600,,,0,,shp_01_101,0,0
02,3,02_204_3_36900,,,0,,shp_02_204,0,0
02,3,02_201_3_33300,,,0,,shp_02_201,0,0
02,2,02_205_2_47700,,,0,,shp_02_205,0,0
01,1,01_101_1_64800,,,0,,shp_01_101,0,0
01,2,01_101_2_54000,,,0,,shp_01_101,0,0
01,1,01_104_1_32400,,,0,,shp_01_104,0,0
02,1,02_201_1_26100,,,0,,shp_02_201,0,0
02,2,02_201_2_63900,,,0,,shp_02_201,0,0
01,3,01_101_3_36000,,,0,,shp_01_101,0,0
01,2,01_102_2_66600,,,0,,shp_01_102,0,0
01,3,01_101_3_61200,,,0,,shp_01_101,0,0
01,3,01_101_3_28800,,,0,,shp_01_101,0,0
01,2,01_101_2_46800,,,0,,shp_01_101,0,0
01,1,01_101_1_75600,,,0,,shp_01_101,0,0
01,2,01_101_2_57600,,,0,,shp_01_101,0,0
02,2,02_202_2_49500,,,0,,shp_02_202,0,0
01,1,01_101_1_52200,,,0,,shp_01_101,0,0
02,3,02_204_3_44100,,,0,,shp_02_204,0,0
02,2,02_205_2_72900,,,0,,shp_02_205,0,0
01,3,01_101_3_39600,,,0,,shp_01_101,0,0
01,2,01_101_2_28800,,,0,,shp_01_101,0,0
01,3,01_101_3_64800,,,0,,shp_01_101,0,0
02,2,02_203_2_31500,,,0,,shp_02_203,0,0
01,1,01_101_1_54000,,,0,,shp_01_101,0,0
02,3,02_205_3_47700,,,0,,shp_02_205,0,0
02,1,02_201_1_63900,,,0,,shp_02_201,0,0
01,2,01_101_2_75600,,,0,,shp_01_101,0,0
02,3,02_201_3_58500,,,0,,shp_02_201,0,0
01,1,01_101_1_30600,,,0,,shp_01_101,0,0
02,2,02_201_2_53100,,,0,,shp_02_201,0,0
01,2,01_101_2_50400,,,0,,shp_01_101,0,0
02,3,02_202_3_49500,,,0,,shp_02_202,0,0
02,1,02_201_1_33300,,,0,,shp_02_201,0,0
01,2,01_102_2_34200,,,0,,shp_01_102,0,0
01,3,01_102_3_70200,,,0,,shp_01_102,0,0
01,2,01_101_2_59400,,,0,,shp_01_101,0,0
02,2,02_201_2_44100,,,0,,shp_02_201,0,0
01,1,01_101_1_61200,,,0,,shp_01_101,0,0
01,1,01_101_1_39600,,,0,,shp_01_101,0,0
02,3,02_201_3_27900,,,0,,shp_02_201,0,0
02,2,02_205_2_51300,,,0,,shp_02_205,0,0
01,1,01_102_1_41400,,,0,,shp_01_102,0,0
01,1,01_104_1_28800,,,0,,shp_01_104,0,0
02,3,02_205_3_69300,,,0,,shp_02_205,0,0
02,1,02_203_1_56700,,,0,,shp_02_203,0,0
01,3,01_101_3_43200,,,0,,shp_01_101,0,0
02,3,02_205_3_72900,,,0,,shp_02_205,0,0
01,1,01_101_1_45000,,,0,,shp_01_101,0,0
01,1,01_104_1_68400,,,0,,shp_01_104,0,0
01,1,01_101_1_36000,,,0,,shp_01_101,0,0
01,1,01_104_1_59400,,,0,,shp_01_104,0,0
02,3,02_203_3_67500,,,0,,shp_02_203,0,0
01,3,01_101_3_55800,,,0,,shp_01_101,0,0
02,3,02_201_3_71100,,,0,,shp_02_201,0,0
01,2,01_101_2_72000,,,0,,shp_01_101,0,0
02,1,02_201_1_54900,,,0,,shp_02_201,0,0
02,2,02_205_2_42300,,,0,,shp_02_205,0,0
02,3,02_203_3_45900,,,0,,shp_02_203,0,0
01,3,01_101_3_46800,,,0,,shp_01_101,0,0
02,1,02_202_1_29700,,,0,,shp_02_202,0,0
02,2,02_201_2_35100,,,0,,shp_02_201,0,0
01,1,01_101_1_48600,,,0,,shp_01_101,0,0
01,1,01_104_1_37800,,,0,,shp_01_104,0,0
01,2,01_103_2_77400,,,0,,shp_01_103,0,0
01,1,01_102_1_66600,,,0,,shp_01_102,0,0
01,2,01_101_2_55800,,,0,,shp_01_101,0,0
01,3,01_101_3_45000,,,0,,shp_01_101,0,0
01,3,01_101_3_37800,,,0,,shp_01_101,0,0
01,1,01_102_1_63000,,,0,,shp_01_102,0,0
01,3,01_102_3_34200,,,0,,shp_01_102,0,0
01,2,01_101_2_48600,,,0,,shp_01_101,0,0
01,1,01_102_1_70200,,,0,,shp_01_102,0,0
02,3,02_201_3_54900,,,0,,shp_02_201,0,0
02,3,02_201_3_62100,,,0,,shp_02_201,0,0
02,2,02_203_2_74700,,,0,,shp_02_203,0,0
02,3,02_205_3_42300,,,0,,shp_02_205,0,0
01,1,01_101_1_59400,,,0,,shp_01_101,0,0
02,3,02_203_3_56700,,,0,,shp_02_203,0,0
02,2,02_205_2_69300,,,0,,shp_02_205,0,0
01,3,01_101_3_68400,,,0,,shp_01_101,0,0
01,1,01_104_1_34200,,,0,,shp_01_104,0,0
01,1,01_101_1_43200,,,0,,shp_01_101,0,0
01,3,01_101_3_75600,,,0,,shp_01_101,0,0
02,3,02_202_3_29700,,,0,,shp_02_202,0,0
02,1,02_206_1_76500,,,0,,shp_02_206,0,0
01,1,01_101_1_28800,,,0,,shp_01_101,0,0
01,1,01_104_1_27000,,,0,,shp_01_104,0,0
