id_int,id,x,y,net_type
1,11511_renfe_operadora_1151111208GL026_renfe_operadora,-1.976704,43.317669,
2,11400_renfe_operadora_1120811511GL026_renfe_operadora,-2.318462,43.088273,
3,11511_renfe_operadora_1151171801GL023_renfe_operadora,-1.976704,43.317669,
4,11511_renfe_operadora_1151178400GL023_renfe_operadora,-1.976704,43.317669,
5,11600_renfe_operadora_1160017000GL023_renfe_operadora,-1.800192,43.339582,
6,11511_renfe_operadora_1160017000GL023_renfe_operadora,-1.976704,43.317669,
7,11500_renfe_operadora_1160017000GL023_renfe_operadora,-2.085247,43.131936,
8,11600_renfe_operadora_1160011200GL023_renfe_operadora,-1.800192,43.339582,
9,11511_renfe_operadora_1160011200GL023_renfe_operadora,-1.976704,43.317669,
10,11500_renfe_operadora_1160011200GL023_renfe_operadora,-2.085247,43.131936,
11,11400_renfe_operadora_1700011600GL023_renfe_operadora,-2.318462,43.088273,
12,11511_renfe_operadora_1700011600GL023_renfe_operadora,-1.976704,43.317669,
13,11600_renfe_operadora_1160010600GL023_renfe_operadora,-1.800192,43.339582,
14,11511_renfe_operadora_1160010600GL023_renfe_operadora,-1.976704,43.317669,
15,11500_renfe_operadora_1160010600GL023_renfe_operadora,-2.085247,43.131936,
16,11400_renfe_operadora_1700011600GL026_renfe_operadora,-2.318462,43.088273,
17,11600_renfe_operadora_1160017000GL026_renfe_operadora,-1.800192,43.339582,
18,11511_renfe_operadora_1160017000GL026_renfe_operadora,-1.976704,43.317669,
19,11500_renfe_operadora_1160017000GL026_renfe_operadora,-2.085247,43.131936,
20,11511_renfe_operadora_1700011600GL026_renfe_operadora,-1.976704,43.317669,
21,11402_renfe_operadora_1160011208VRE_renfe_operadora,-2.255831,43.040151,
22,11400_renfe_operadora_1160011208VRE_renfe_operadora,-2.318462,43.088273,
23,11306_renfe_operadora_1160011208VRE_renfe_operadora,-2.329396,43.052263,
24,11306_renfe_operadora_1120011600VRE_renfe_operadora,-2.329396,43.052263,
25,11400_renfe_operadora_1120011600VRE_renfe_operadora,-2.318462,43.088273,
26,11404_renfe_operadora_1120011600VRE_renfe_operadora,-2.203234,43.046174,
27,11405_renfe_operadora_1120011600VRE_renfe_operadora,-2.181019,43.052583,
28,11500_renfe_operadora_1120011600VRE_renfe_operadora,-2.085247,43.131936,
29,11503_renfe_operadora_1120011600VRE_renfe_operadora,-2.055641,43.189391,
30,11504_renfe_operadora_1120011600VRE_renfe_operadora,-2.020394,43.214729,
31,11507_renfe_operadora_1120011600VRE_renfe_operadora,-1.975726,43.261977,
32,11511_renfe_operadora_1120011600VRE_renfe_operadora,-1.976704,43.317669,
33,11515_renfe_operadora_1120011600VRE_renfe_operadora,-1.904324,43.318764,
34,11516_renfe_operadora_1120011600VRE_renfe_operadora,-1.895015,43.313544,
35,11600_renfe_operadora_1160011200VRE_renfe_operadora,-1.800192,43.339582,
36,11516_renfe_operadora_1160011200VRE_renfe_operadora,-1.895015,43.313544,
37,11600_renfe_operadora_1160010000VRX_renfe_operadora,-1.800192,43.339582,
38,11516_renfe_operadora_1160010000VRX_renfe_operadora,-1.895015,43.313544,
39,11511_renfe_operadora_1160010000VRX_renfe_operadora,-1.976704,43.317669,
40,11507_renfe_operadora_1160010000VRX_renfe_operadora,-1.975726,43.261977,
41,11504_renfe_operadora_1160010000VRX_renfe_operadora,-2.020394,43.214729,
42,11503_renfe_operadora_1160010000VRX_renfe_operadora,-2.055641,43.189391,
43,11500_renfe_operadora_1160010000VRX_renfe_operadora,-2.085247,43.131936,
44,11405_renfe_operadora_1160010000VRX_renfe_operadora,-2.181019,43.052583,
45,11404_renfe_operadora_1160010000VRX_renfe_operadora,-2.203234,43.046174,
46,11400_renfe_operadora_1160010000VRX_renfe_operadora,-2.318462,43.088273,
47,11306_renfe_operadora_1000011600VRX_renfe_operadora,-2.329396,43.052263,
48,11400_renfe_operadora_1000011600VRX_renfe_operadora,-2.318462,43.088273,
49,11404_renfe_operadora_1000011600VRX_renfe_operadora,-2.203234,43.046174,
50,11405_renfe_operadora_1000011600VRX_renfe_operadora,-2.181019,43.052583,
51,11500_renfe_operadora_1000011600VRX_renfe_operadora,-2.085247,43.131936,
52,11503_renfe_operadora_1000011600VRX_renfe_operadora,-2.055641,43.189391,
53,11504_renfe_operadora_1000011600VRX_renfe_operadora,-2.020394,43.214729,
54,11507_renfe_operadora_1000011600VRX_renfe_operadora,-1.975726,43.261977,
55,11511_renfe_operadora_1000011600VRX_renfe_operadora,-1.976704,43.317669,
56,11515_renfe_operadora_1000011600VRX_renfe_operadora,-1.904324,43.318764,
57,11516_renfe_operadora_1000011600VRX_renfe_operadora,-1.895015,43.313544,
58,11511_renfe_cercanias_61T0001C1_renfe_cercanias,-1.976704,43.317669,
59,11507_renfe_cercanias_61T0001C1_renfe_cercanias,-1.975726,43.261977,
60,11504_renfe_cercanias_61T0001C1_renfe_cercanias,-2.020394,43.214729,
61,11503_renfe_cercanias_61T0001C1_renfe_cercanias,-2.055641,43.189391,
62,11500_renfe_cercanias_61T0001C1_renfe_cercanias,-2.085247,43.131936,
63,11405_renfe_cercanias_61T0001C1_renfe_cercanias,-2.181019,43.052583,
64,11404_renfe_cercanias_61T0001C1_renfe_cercanias,-2.203234,43.046174,
65,11400_renfe_cercanias_61T0001C1_renfe_cercanias,-2.318462,43.088273,
66,11306_renfe_cercanias_61T0001C1_renfe_cercanias,-2.329396,43.052263,
67,11516_renfe_cercanias_61T0001C1_renfe_cercanias,-1.895015,43.313544,
68,11515_renfe_cercanias_61T0001C1_renfe_cercanias,-1.904324,43.318764,
