Referencia,Destinos,Porcentajes,Superficie Total,Mun
3768001,"['Vivienda', 'Trastero']","[66.67, 33.33]","[140, 70]",55
3768002,"['Vivienda', 'Trastero', 'Agropecuario']","[39.37, 47.24, 13.39]","[250, 300, 85]",55
3768003,"['Agropecuario', 'Vivienda', 'Trastero', 'Deposito']","[27.51, 38.46, 33.14, 0.89]","[186, 260, 224, 6]",55
3768004,"['Vivienda', 'Garaje Cerrado']","[68.27, 31.73]","[370, 172]",55
3769001,['Vivienda'],[100.0],[224],55
3769002,['Agropecuario'],[100.0],[80],55
3865001,"['Vivienda', 'Agropecuario']","[19.08, 80.92]","[120, 509]",13
3865002,"['Vivienda', 'Agropecuario']","[36.47, 63.53]","[155, 270]",13
3865003,"['Vivienda', 'Agropecuario']","[15.3, 84.7]","[82, 454]",13
3865004,"['Vivienda', 'Agropecuario']","[20.44, 79.56]","[120, 467]",13
3867001,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado']","[22.37, 26.0, 49.82, 1.81]","[185, 215, 412, 15]",55
3867002,"['Vivienda', 'Trastero']","[59.86, 40.14]","[176, 118]",55
3867003,"['Trastero', 'Vivienda', 'Terraza']","[54.35, 37.68, 7.97]","[375, 260, 55]",55
3867004,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[51.81, 36.14, 12.05]","[172, 120, 40]",55
3867005,['Industrial'],[100.0],[49],55
3867006,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado', 'Deposito']","[44.87, 29.49, 12.82, 6.41, 6.41]","[350, 230, 100, 50, 50]",55
3867007,"['Vivienda', 'Trastero']","[66.3, 33.7]","[183, 93]",55
3867008,"['Vivienda', 'Garaje Cerrado']","[90.74, 9.26]","[245, 25]",55
3867009,['Agropecuario'],[100.0],[23],55
3867010,['Trastero'],[100.0],[220],55
3867011,['Almacen'],[100.0],[9],55
3867012,['Agropecuario'],[100.0],[440],55
3867013,"['Vivienda', 'Agropecuario', 'Garaje Cerrado', 'Trastero']","[37.18, 51.28, 10.38, 1.15]","[290, 400, 81, 9]",55
3868001,['Solar'],[100.0],[150],55
3868002,"['Local Comercial', 'Vivienda', 'Terraza', 'Trastero']","[41.02, 48.73, 3.32, 6.94]","[692, 822, 56, 117]",55
3868003,"['Hosteleria', 'Trastero']","[94.12, 5.88]","[320, 20]",55
3868004,"['Duplex', 'Vivienda']","[31.34, 68.66]","[110, 241]",55
3868005,['Solar'],[100.0],[721],55
3868006,"['Religioso', 'Vivienda', 'Trastero', 'Sanidad', 'Almacen', 'Industrial']","[5.92, 43.48, 12.57, 33.22, 0.37, 4.45]","[659, 4841, 1400, 3699, 41, 495]",55
3868007,"['Vivienda', 'Trastero', 'Garaje Cerrado']","[65.02, 28.98, 6.01]","[184, 82, 17]",55
3868008,"['Vivienda', 'Trastero', 'Almacen', 'Garaje Cerrado']","[60.17, 17.8, 0.85, 21.19]","[284, 84, 4, 100]",55
3868009,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[9.95, 38.84, 46.23, 4.98]","[62, 242, 288, 31]",55
3868010,"['Vivienda', 'Agropecuario']","[79.03, 20.97]","[343, 91]",55
3868011,"['Vivienda', 'Trastero']","[72.92, 27.08]","[350, 130]",55
3868012,"['Trastero', 'Vivienda']","[50.0, 50.0]","[254, 254]",55
3868013,"['Almacen', 'Vivienda', 'Trastero']","[35.62, 58.45, 5.94]","[78, 128, 13]",55
3868014,['Solar'],[100.0],[365],55
3868015,"['Almacen', 'Vivienda', 'Trastero']","[16.13, 54.84, 29.03]","[50, 170, 90]",55
3868016,['Solar'],[100.0],[90],55
3868017,"['Vivienda', 'Garaje Cerrado', 'Trastero']","[51.63, 23.72, 24.65]","[222, 102, 106]",55
3868018,['Solar'],[100.0],[238],55
3868019,['Solar'],[100.0],[339],55
3868020,['Solar'],[100.0],[581],55
3868021,"['Vivienda', 'Trastero', 'Garaje Cerrado', 'Almacen']","[34.33, 13.22, 7.25, 45.2]","[161, 62, 34, 212]",55
3868026,"['Vivienda', 'Trastero']","[81.51, 18.49]","[410, 93]",55
3868027,"['Almacen', 'Local Comercial', 'Trastero', 'Vivienda', 'Garaje Cerrado']","[6.78, 24.86, 22.79, 36.16, 9.42]","[36, 132, 121, 192, 50]",55
3868028,"['Almacen', 'Vivienda', 'Trastero']","[36.24, 50.53, 13.23]","[137, 191, 50]",55
3868029,['Solar'],[100.0],[5461],55
3868042,['Solar'],[100.0],[155],55
3868043,['Solar'],[100.0],[691],55
3868044,['Solar'],[100.0],[229],55
3868045,['Solar'],[100.0],[390],55
3868046,['Solar'],[100.0],[242],55
3868047,['Solar'],[100.0],[617],55
3868048,['Solar'],[100.0],[571],55
3868049,['Solar'],[100.0],[1835],55
3868050,"['Vivienda', 'Trastero']","[50.0, 50.0]","[160, 160]",55
3868051,"['Trastero', 'Vivienda']","[46.67, 53.33]","[217, 248]",55
3868052,['Solar'],[100.0],[496],55
3868053,['Solar'],[100.0],[1263],55
3868054,"['Religioso', 'Vivienda']","[43.44, 56.56]","[265, 345]",55
3868055,"['Industrial', 'Sanidad', 'Vivienda', 'Trastero', 'Garaje Cerrado', 'Almacen', 'Plaza Parking']","[2.06, 7.91, 58.07, 11.4, 3.83, 8.03, 8.7]","[695, 2675, 19638, 3857, 1295, 2717, 2942]",55
3868058,"['Vivienda', 'Trastero', 'Agropecuario']","[33.06, 31.43, 35.51]","[162, 154, 174]",55
3868059,['Sanidad'],[100.0],[23021],55
3868062,['Solar'],[100.0],[2410],55
3868063,"['Almacen', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[34.04, 23.4, 40.43, 2.13]","[160, 110, 190, 10]",55
3868067,['Solar'],[100.0],[6700],55
3868068,"['Agropecuario', 'Vivienda', 'Trastero', 'Garaje Cerrado']","[28.34, 27.33, 36.44, 7.89]","[140, 135, 180, 39]",55
3868069,"['Vivienda', 'Trastero', 'Agropecuario', 'Garaje Cerrado', 'Deposito']","[36.75, 31.24, 28.02, 2.76, 1.23]","[240, 204, 183, 18, 8]",55
3868070,"['Industrial', 'Almacen']","[88.24, 11.76]","[240, 32]",55
3868072,['Solar'],[100.0],[3020],55
3868073,"['Vivienda', 'Trastero', 'Agropecuario']","[56.02, 28.01, 15.96]","[186, 93, 53]",55
3868074,"['Vivienda', 'Trastero']","[33.33, 66.67]","[84, 168]",55
3868075,"['Vivienda', 'Trastero', 'Duplex']","[16.78, 49.23, 34.0]","[76, 223, 154]",55
3868077,['Solar'],[100.0],[2000],55
3868078,"['Garaje Cerrado', 'Vivienda']","[3.52, 96.48]","[73, 1998]",55
3868079,['Religioso'],[100.0],[459],55
3869001,['Solar'],[100.0],[6839],55
3869002,['Industrial'],[100.0],[1234],55
3869003,['Solar'],[100.0],[6300],55
3869004,"['Agropecuario', 'Vivienda', 'Trastero']","[22.39, 58.96, 18.66]","[180, 474, 150]",55
3869005,['Solar'],[100.0],[2900],55
3869006,['Solar'],[100.0],[78395],55
3869007,"['Agropecuario', 'Vivienda', 'Trastero']","[26.8, 56.74, 16.47]","[179, 379, 110]",55
3869008,['Solar'],[100.0],[3050],55
3869009,"['Vivienda', 'Garaje Cerrado']","[60.15, 39.85]","[160, 106]",55
3964001,"['Vivienda', 'Agropecuario']","[55.56, 44.44]","[130, 104]",13
3964002,"['Vivienda', 'Agropecuario', 'Garaje Cerrado']","[38.19, 45.38, 16.43]","[186, 221, 80]",13
