Poblacion ORIGEN,Poblacion DESTINO,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Andoain,Beasain,499,43.2194140168093,-2.0209083686,43.0732613951147,-2.2179073142
Andoain,Donostia/San Sebastián,2727,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Errenteria,301,43.2194140168093,-2.0209083686,43.2553049551337,-1.8928623455
Andoain,Hernani,764,43.2194140168093,-2.0209083686,43.2387833429893,-1.9442591545
Andoain,Hondarribia,180,43.2194140168093,-2.0209083686,43.3748851848767,-1.8239709632
Andoain,Irun,327,43.2194140168093,-2.0209083686,43.318640571622,-1.77372589148
Andoain,Orio,274,43.2194140168093,-2.0209083686,43.2774552762092,-2.1270561218
Andoain,Tolosa,313,43.2194140168093,-2.0209083686,43.1077539093613,-2.0800512827
Andoain,Villabona,1093,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Zarautz,624,43.2194140168093,-2.0209083686,43.280963309723,-2.16722426204
Aretxabaleta,Arrasate/Mondragón,1951,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Astigarraga,1467,43.0301858431505,-2.4857005835,43.2797569478888,-1.9334342263
Arrasate/Mondragón,Aretxabaleta,2275,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Azkoitia,866,43.0745226631642,-2.4841486565,43.1706487685027,-2.3309631204
Arrasate/Mondragón,Bergara,2184,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Deba,303,43.0745226631642,-2.4841486565,43.2945746872118,-2.3538208007
Arrasate/Mondragón,Donostia/San Sebastián,1595,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Eibar,427,43.0745226631642,-2.4841486565,43.1997782323138,-2.4616488769
Arrasate/Mondragón,Hernani,402,43.0745226631642,-2.4841486565,43.2387833429893,-1.9442591545
Arrasate/Mondragón,Hondarribia,165,43.0745226631642,-2.4841486565,43.3748851848767,-1.8239709632
Arrasate/Mondragón,Irun,689,43.0745226631642,-2.4841486565,43.318640571622,-1.77372589148
Arrasate/Mondragón,Oñati,1732,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Zarautz,1068,43.0745226631642,-2.4841486565,43.280963309723,-2.16722426204
Arrasate/Mondragón,Zumarraga,726,43.0745226631642,-2.4841486565,43.1030792391374,-2.3156108273
Astigarraga,Arrasate/Mondragón,720,43.2797569478888,-1.9334342263,43.0745226631642,-2.4841486565
Astigarraga,Deba,172,43.2797569478888,-1.9334342263,43.2945746872118,-2.3538208007
Astigarraga,Donostia/San Sebastián,5907,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Errenteria,661,43.2797569478888,-1.9334342263,43.2553049551337,-1.8928623455
Astigarraga,Hernani,1795,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hondarribia,234,43.2797569478888,-1.9334342263,43.3748851848767,-1.8239709632
Astigarraga,Irun,470,43.2797569478888,-1.9334342263,43.318640571622,-1.77372589148
Azkoitia,Arrasate/Mondragón,783,43.1706487685027,-2.3309631204,43.0745226631642,-2.4841486565
Azkoitia,Azpeitia,3147,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Bergara,199,43.1706487685027,-2.3309631204,43.1220053801849,-2.4148383635
Azkoitia,Donostia/San Sebastián,731,43.1706487685027,-2.3309631204,43.2918111063554,-1.9885133578
Azkoitia,Ordizia,446,43.1706487685027,-2.3309631204,43.0637579709383,-2.1818318125
Azkoitia,Oñati,289,43.1706487685027,-2.3309631204,43.0178261678898,-2.4067931275
Azkoitia,Zarautz,287,43.1706487685027,-2.3309631204,43.280963309723,-2.16722426204
Azkoitia,Zumaia,176,43.1706487685027,-2.3309631204,43.2876451846902,-2.2461133898
Azkoitia,Zumarraga,230,43.1706487685027,-2.3309631204,43.1030792391374,-2.3156108273
Azpeitia,Azkoitia,2304,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Beasain,411,43.1624073640789,-2.2517858723,43.0732613951147,-2.2179073142
Azpeitia,Donostia/San Sebastián,1559,43.1624073640789,-2.2517858723,43.2918111063554,-1.9885133578
Azpeitia,Eibar,903,43.1624073640789,-2.2517858723,43.1997782323138,-2.4616488769
Azpeitia,Errenteria,384,43.1624073640789,-2.2517858723,43.2553049551337,-1.8928623455
Azpeitia,Legazpi,230,43.1624073640789,-2.2517858723,43.0307535874133,-2.3423674188
Azpeitia,Orio,203,43.1624073640789,-2.2517858723,43.2774552762092,-2.1270561218
Azpeitia,Zarautz,165,43.1624073640789,-2.2517858723,43.280963309723,-2.16722426204
Azpeitia,Zumaia,177,43.1624073640789,-2.2517858723,43.2876451846902,-2.2461133898
Beasain,Andoain,503,43.0732613951147,-2.2179073142,43.2194140168093,-2.0209083686
