Poblacion ORIGEN,Poblacion DESTINO,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Andoain,Donostia/San Sebastian,5195,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Hernani,986,43.2194140168093,-2.0209083686,43.2387833429893,-1.9442591545
Andoain,Lasarte-Oria,1022,43.2194140168093,-2.0209083686,43.263787380437,-2.01193141046
Andoain,Urnieta,386,43.2194140168093,-2.0209083686,43.2279274707467,-1.9641779933
Andoain,Usurbil,534,43.2194140168093,-2.0209083686,43.2714582916227,-2.0481375743
Andoain,Villabona,256,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Aretxabaleta,Arrasate/Mondragon,3418,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Arrasate/Mondragon,Aretxabaleta,2281,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragon,Bergara,7344,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragon,Oñati,4522,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Astigarraga,Donostia/San Sebastian,5115,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Errenteria,2560,43.2797569478888,-1.9334342263,43.2553049551337,-1.8928623455
Astigarraga,Hernani,1002,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Lasarte-Oria,1003,43.2797569478888,-1.9334342263,43.263787380437,-2.01193141046
Astigarraga,Oiartzun,1092,43.2797569478888,-1.9334342263,43.2541730488123,-1.8474567504
Astigarraga,Usurbil,490,43.2797569478888,-1.9334342263,43.2714582916227,-2.0481375743
Azkoitia,Azpeitia,1271,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Bergara,1464,43.1706487685027,-2.3309631204,43.1220053801849,-2.4148383635
Azkoitia,Elgoibar,1330,43.1706487685027,-2.3309631204,43.2113912005164,-2.4069004651
Azkoitia,Urretxu,1055,43.1706487685027,-2.3309631204,43.0993876699294,-2.3241971941
Azkoitia,Zumarraga,1555,43.1706487685027,-2.3309631204,43.1030792391374,-2.3156108273
Azpeitia,Azkoitia,2578,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Beasain,3882,43.1624073640789,-2.2517858723,43.0732613951147,-2.2179073142
Beasain,Azpeitia,4181,43.0732613951147,-2.2179073142,43.1624073640789,-2.2517858723
Beasain,Lazkao,1147,43.0732613951147,-2.2179073142,43.0194888194631,-2.1671234871
Beasain,Ordizia,3302,43.0732613951147,-2.2179073142,43.0637579709383,-2.1818318125
Bergara,Arrasate/Mondragon,2005,43.1220053801849,-2.4148383635,43.0745226631642,-2.4841486565
Bergara,Azkoitia,967,43.1220053801849,-2.4148383635,43.1706487685027,-2.3309631204
Bergara,Eibar,1510,43.1220053801849,-2.4148383635,43.1997782323138,-2.4616488769
Bergara,Oñati,675,43.1220053801849,-2.4148383635,43.0178261678898,-2.4067931275
Bergara,Zumarraga,1157,43.1220053801849,-2.4148383635,43.1030792391374,-2.3156108273
Deba,Elgoibar,1729,43.2945746872118,-2.3538208007,43.2113912005164,-2.4069004651
Deba,Mutriku,244,43.2945746872118,-2.3538208007,43.3016874985659,-2.3847547875
Deba,Zumaia,956,43.2945746872118,-2.3538208007,43.2876451846902,-2.2461133898
Donostia/San Sebastian,Andoain,5711,43.2918111063554,-1.9885133578,43.2194140168093,-2.0209083686
Donostia/San Sebastian,Astigarraga,7129,43.2918111063554,-1.9885133578,43.2797569478888,-1.9334342263
Donostia/San Sebastian,Errenteria,28658,43.2918111063554,-1.9885133578,43.2553049551337,-1.8928623455
Donostia/San Sebastian,Hernani,10979,43.2918111063554,-1.9885133578,43.2387833429893,-1.9442591545
Donostia/San Sebastian,Lasarte-Oria,10897,43.2918111063554,-1.9885133578,43.263787380437,-2.01193141046
Donostia/San Sebastian,Lezo,5215,43.2918111063554,-1.9885133578,43.3263415090448,-1.885769548
Donostia/San Sebastian,Orio,4295,43.2918111063554,-1.9885133578,43.2774552762092,-2.1270561218
Donostia/San Sebastian,Pasaia,10916,43.2918111063554,-1.9885133578,43.318996,-1.969857
Donostia/San Sebastian,Urnieta,4170,43.2918111063554,-1.9885133578,43.2279274707467,-1.9641779933
