Poblacion ORIGEN,Poblacion DESTINO,MODO_INFORME,MOTIVO_informe,Grupo edad,Actividad economica,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Andoain,Beasain,"Coche, pasajero/a",Trabajo habitual,45-64,Personas ocupadas,268,43.2194140168093,-2.0209083686,43.0732613951147,-2.2179073142
Andoain,Beasain,Tren Renfe cercanias,Trabajo habitual,45-64,Personas ocupadas,231,43.2194140168093,-2.0209083686,43.0732613951147,-2.2179073142
Andoain,Donostia/San Sebastián,Autobus interurbano,Centro estudios,20-44,Estudiantes,239,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,Autobus interurbano,"Ocio, cultura, deporte",65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",239,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,Autobus interurbano,Trabajo habitual,45-64,Personas ocupadas,307,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,Bicicleta,"Ocio, cultura, deporte",65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",100,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Acompanamiento,20-44,Personas paradas,129,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Asuntos trabajo,20-44,Personas ocupadas,118,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Compras personales,20-44,Personas ocupadas,131,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Gestiones personales,45-64,Personas ocupadas,147,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Medico / Hospital,45-64,Personas ocupadas,85,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Medico / Hospital,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",103,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Otra vivienda,20-44,Personas ocupadas,121,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,386,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,225,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, pasajero/a",Acompanamiento,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",105,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, pasajero/a",Centro estudios,20-44,Personas ocupadas,95,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, pasajero/a",Compras personales,45-64,Personas ocupadas,112,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Donostia/San Sebastián,"Coche, pasajero/a",Gestiones personales,45-64,Personas ocupadas,85,43.2194140168093,-2.0209083686,43.2918111063554,-1.9885133578
Andoain,Errenteria,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,301,43.2194140168093,-2.0209083686,43.2553049551337,-1.8928623455
Andoain,Hernani,"Coche, conductor/a",Asuntos trabajo,45-64,Personas ocupadas,198,43.2194140168093,-2.0209083686,43.2387833429893,-1.9442591545
Andoain,Hernani,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,171,43.2194140168093,-2.0209083686,43.2387833429893,-1.9442591545
Andoain,Hernani,Tren Renfe cercanias,Centro estudios,20-44,Estudiantes,395,43.2194140168093,-2.0209083686,43.2387833429893,-1.9442591545
Andoain,Hondarribia,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,180,43.2194140168093,-2.0209083686,43.3748851848767,-1.8239709632
Andoain,Irun,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,182,43.2194140168093,-2.0209083686,43.318640571622,-1.77372589148
Andoain,Irun,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,145,43.2194140168093,-2.0209083686,43.318640571622,-1.77372589148
Andoain,Orio,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,274,43.2194140168093,-2.0209083686,43.2774552762092,-2.1270561218
Andoain,Tolosa,Autobus interurbano,Centro estudios,7-19,Estudiantes,73,43.2194140168093,-2.0209083686,43.1077539093613,-2.0800512827
Andoain,Tolosa,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,126,43.2194140168093,-2.0209083686,43.1077539093613,-2.0800512827
Andoain,Tolosa,"Coche, pasajero/a",Centro estudios,45-64,Personas paradas,114,43.2194140168093,-2.0209083686,43.1077539093613,-2.0800512827
Andoain,Villabona,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,243,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Villabona,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,226,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Villabona,"Coche, pasajero/a",Centro estudios,7-19,Estudiantes,114,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Villabona,"Coche, pasajero/a","Ocio, cultura, deporte",7-19,Estudiantes,365,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Villabona,Tren Renfe cercanias,"Ocio, cultura, deporte",7-19,Estudiantes,145,43.2194140168093,-2.0209083686,43.1863841159828,-2.0308643183
Andoain,Zarautz,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,624,43.2194140168093,-2.0209083686,43.280963309723,-2.16722426204
Aretxabaleta,Arrasate/Mondragón,Autobus interurbano,Centro estudios,7-19,Estudiantes,170,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,Autobus interurbano,Medico / Hospital,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",170,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,"Coche, conductor/a",Compras domestico-familiares,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",115,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,"Coche, conductor/a",Gestiones personales,20-44,Personas ocupadas,111,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,"Coche, conductor/a",Otros,45-64,Personas paradas,164,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,592,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,289,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
Aretxabaleta,Arrasate/Mondragón,Multimodal,Trabajo habitual,20-44,Personas ocupadas,340,43.0301858431505,-2.4857005835,43.0745226631642,-2.4841486565
