Poblacion ORIGEN,Poblacion DESTINO,Saltos
Eibar,Eibar,1
Eibar,Elgoibar,1
Eibar,Mendaro,1
Eibar,Deba,1
Eibar,Zestoa,2
Eibar,Zumaia,2
Eibar,Zarautz,2
Eibar,Orio,2
Eibar,Usurbil,3
Eibar,Donostia/San Sebastian,3
Eibar,Lasarte-Oria,3
Eibar,Pasaia,3
Eibar,Errenteria,3
Eibar,Oiartzun,3
Eibar,Lezo,3
Eibar,Irun,4
Elgoibar,Eibar,1
Elgoibar,Elgoibar,1
Elgoibar,Mendaro,1
Elgoibar,Deba,1
Elgoibar,Zestoa,2
Elgoibar,Zumaia,2
Elgoibar,Zarautz,2
Elgoibar,Orio,2
Elgoibar,Usurbil,3
Elgoibar,Donostia/San Sebastian,3
Elgoibar,Lasarte-Oria,3
Elgoibar,Pasaia,3
Elgoibar,Errenteria,3
Elgoibar,Oiartzun,3
Elgoibar,Lezo,3
Elgoibar,Irun,4
Mendaro,Eibar,1
Mendaro,Elgoibar,1
Mendaro,Mendaro,1
Mendaro,Deba,1
Mendaro,Zestoa,2
Mendaro,Zumaia,2
Mendaro,Zarautz,2
Mendaro,Orio,2
Mendaro,Usurbil,3
Mendaro,Donostia/San Sebastian,3
Mendaro,Lasarte-Oria,3
Mendaro,Pasaia,3
Mendaro,Errenteria,3
Mendaro,Oiartzun,3
Mendaro,Lezo,3
Mendaro,Irun,4
Deba,Eibar,1
Deba,Elgoibar,1
Deba,Mendaro,1
Deba,Deba,1
Deba,Zestoa,2
Deba,Zumaia,2
Deba,Zarautz,2
Deba,Orio,2
Deba,Usurbil,3
Deba,Donostia/San Sebastian,3
Deba,Lasarte-Oria,3
Deba,Pasaia,3
Deba,Errenteria,3
Deba,Oiartzun,3
Deba,Lezo,3
Deba,Irun,4
Zestoa,Eibar,2
Zestoa,Elgoibar,2
Zestoa,Mendaro,2
Zestoa,Deba,2
Zestoa,Zestoa,1
Zestoa,Zumaia,1
Zestoa,Zarautz,1
Zestoa,Orio,1
Zestoa,Usurbil,2
Zestoa,Donostia/San Sebastian,2
Zestoa,Lasarte-Oria,2
Zestoa,Pasaia,2
Zestoa,Errenteria,2
Zestoa,Oiartzun,2
Zestoa,Lezo,2
Zestoa,Irun,3
Zumaia,Eibar,2
Zumaia,Elgoibar,2
Zumaia,Mendaro,2
Zumaia,Deba,2
Zumaia,Zestoa,1
Zumaia,Zumaia,1
Zumaia,Zarautz,1
Zumaia,Orio,1
Zumaia,Usurbil,2
Zumaia,Donostia/San Sebastian,2
Zumaia,Lasarte-Oria,2
Zumaia,Pasaia,2
Zumaia,Errenteria,2
Zumaia,Oiartzun,2
Zumaia,Lezo,2
Zumaia,Irun,3
Zarautz,Eibar,2
Zarautz,Elgoibar,2
Zarautz,Mendaro,2
Zarautz,Deba,2
Zarautz,Zestoa,1
Zarautz,Zumaia,1
Zarautz,Zarautz,1
Zarautz,Orio,1
Zarautz,Usurbil,2
Zarautz,Donostia/San Sebastian,2
Zarautz,Lasarte-Oria,2
Zarautz,Pasaia,2
Zarautz,Errenteria,2
Zarautz,Oiartzun,2
Zarautz,Lezo,2
Zarautz,Irun,3
Orio,Eibar,2
Orio,Elgoibar,2
Orio,Mendaro,2
Orio,Deba,2
Orio,Zestoa,1
Orio,Zumaia,1
Orio,Zarautz,1
Orio,Orio,1
Orio,Usurbil,2
Orio,Donostia/San Sebastian,2
Orio,Lasarte-Oria,2
Orio,Pasaia,2
Orio,Errenteria,2
Orio,Oiartzun,2
Orio,Lezo,2
Orio,Irun,3
Usurbil,Eibar,3
Usurbil,Elgoibar,3
Usurbil,Mendaro,3
Usurbil,Deba,3
Usurbil,Zestoa,2
Usurbil,Zumaia,2
Usurbil,Zarautz,2
Usurbil,Orio,2
Usurbil,Usurbil,1
Usurbil,Donostia/San Sebastian,1
Usurbil,Lasarte-Oria,1
Usurbil,Pasaia,1
Usurbil,Errenteria,1
Usurbil,Oiartzun,1
