COMARCA ORI,COMARCA DES,Saltos
Bidasoa,Bidasoa,0.0
Bidasoa,Donostialdea,1.0
Bidasoa,Urola Kosta,2.0
Bidasoa,Debabarrena,3.0
Bidasoa,Durangaldea,4.0
Bidasoa,Arratia-Amorebieta,5.0
Bidasoa,Bilbao,6.0
Bidasoa,Tolosaldea,2.0
Bidasoa,Goierri,3.0
Bidasoa,Debagoiena,
Bidasoa,Urola Erdia,
Bidasoa,Lekeitio-Berriatua,
Bidasoa,Araba,
Bidasoa,Vitoria-Gasteiz,
Donostialdea,Bidasoa,1.0
Donostialdea,Donostialdea,0.0
Donostialdea,Urola Kosta,1.0
Donostialdea,Debabarrena,2.0
Donostialdea,Durangaldea,3.0
Donostialdea,Arratia-Amorebieta,4.0
Donostialdea,Bilbao,5.0
Donostialdea,Tolosaldea,1.0
Donostialdea,Goierri,2.0
Donostialdea,Debagoiena,3.0
Donostialdea,Urola Erdia,2.0
Donostialdea,Lekeitio-Berriatua,3.0
Donostialdea,Araba,4.0
Donostialdea,Vitoria-Gasteiz,5.0
Urola Kosta,Bidasoa,2.0
Urola Kosta,Donostialdea,1.0
Urola Kosta,Urola Kosta,0.0
Urola Kosta,Debabarrena,1.0
Urola Kosta,Durangaldea,2.0
Urola Kosta,Arratia-Amorebieta,3.0
Urola Kosta,Bilbao,4.0
Urola Kosta,Tolosaldea,
Urola Kosta,Goierri,2.0
Urola Kosta,Debagoiena,2.0
Urola Kosta,Urola Erdia,1.0
Urola Kosta,Lekeitio-Berriatua,2.0
Urola Kosta,Araba,
Urola Kosta,Vitoria-Gasteiz,4.0
Debabarrena,Bidasoa,3.0
Debabarrena,Donostialdea,2.0
Debabarrena,Urola Kosta,1.0
Debabarrena,Debabarrena,0.0
Debabarrena,Durangaldea,1.0
Debabarrena,Arratia-Amorebieta,2.0
Debabarrena,Bilbao,3.0
Debabarrena,Tolosaldea,
Debabarrena,Goierri,
Debabarrena,Debagoiena,1.0
Debabarrena,Urola Erdia,1.0
Debabarrena,Lekeitio-Berriatua,1.0
Debabarrena,Araba,2.0
Debabarrena,Vitoria-Gasteiz,3.0
Durangaldea,Bidasoa,4.0
Durangaldea,Donostialdea,3.0
Durangaldea,Urola Kosta,2.0
Durangaldea,Debabarrena,1.0
Durangaldea,Durangaldea,0.0
Durangaldea,Arratia-Amorebieta,1.0
Durangaldea,Bilbao,2.0
Durangaldea,Tolosaldea,3.0
Durangaldea,Goierri,2.0
Durangaldea,Debagoiena,1.0
Durangaldea,Urola Erdia,
Durangaldea,Lekeitio-Berriatua,
Durangaldea,Araba,
Durangaldea,Vitoria-Gasteiz,
Arratia-Amorebieta,Bidasoa,5.0
Arratia-Amorebieta,Donostialdea,4.0
Arratia-Amorebieta,Urola Kosta,3.0
Arratia-Amorebieta,Debabarrena,2.0
Arratia-Amorebieta,Durangaldea,1.0
Arratia-Amorebieta,Arratia-Amorebieta,0.0
Arratia-Amorebieta,Bilbao,1.0
Arratia-Amorebieta,Tolosaldea,4.0
Arratia-Amorebieta,Goierri,3.0
Arratia-Amorebieta,Debagoiena,2.0
Arratia-Amorebieta,Urola Erdia,
Arratia-Amorebieta,Lekeitio-Berriatua,
Arratia-Amorebieta,Araba,
Arratia-Amorebieta,Vitoria-Gasteiz,
