Poblacion ORIGEN,Poblacion DESTINO,Saltos
Legazpi,Legazpi,1
Legazpi,Zumarraga,1
Legazpi,Ormaiztegi,1
Legazpi,Beasain,2
Legazpi,Ordizia,2
Legazpi,Itsasondo,2
Legazpi,Legorreta,2
Legazpi,Ikaztegieta,2
Legazpi,Alegia,2
Legazpi,Tolosa,3
Legazpi,Anoeta,3
Legazpi,Villabona,3
Legazpi,Andoain,4
Legazpi,Urnieta,4
Legazpi,Hernani,5
Legazpi,Donostia/San Sebastian,5
Legazpi,Pasaia,5
Legazpi,Lezo,5
Legazpi,Errenteria,5
Legazpi,Irun,6
Zumarraga,Legazpi,1
Zumarraga,Zumarraga,1
Zumarraga,Ormaiztegi,1
Zumarraga,Beasain,2
Zumarraga,Ordizia,2
Zumarraga,Itsasondo,2
Zumarraga,Legorreta,2
Zumarraga,Ikaztegieta,2
Zumarraga,Alegia,2
Zumarraga,Tolosa,3
Zumarraga,Anoeta,3
Zumarraga,Villabona,3
Zumarraga,Andoain,4
Zumarraga,Urnieta,4
Zumarraga,Hernani,5
Zumarraga,Donostia/San Sebastian,5
Zumarraga,Pasaia,5
Zumarraga,Lezo,5
Zumarraga,Errenteria,5
Zumarraga,Irun,6
Ormaiztegi,Legazpi,1
Ormaiztegi,Zumarraga,1
Ormaiztegi,Ormaiztegi,1
Ormaiztegi,Beasain,2
Ormaiztegi,Ordizia,2
Ormaiztegi,Itsasondo,2
Ormaiztegi,Legorreta,2
Ormaiztegi,Ikaztegieta,2
Ormaiztegi,Alegia,2
Ormaiztegi,Tolosa,3
Ormaiztegi,Anoeta,3
Ormaiztegi,Villabona,3
Ormaiztegi,Andoain,4
Ormaiztegi,Urnieta,4
Ormaiztegi,Hernani,5
Ormaiztegi,Donostia/San Sebastian,5
Ormaiztegi,Pasaia,5
Ormaiztegi,Lezo,5
Ormaiztegi,Errenteria,5
Ormaiztegi,Irun,6
Beasain,Legazpi,2
Beasain,Zumarraga,2
Beasain,Ormaiztegi,2
Beasain,Beasain,1
Beasain,Ordizia,1
Beasain,Itsasondo,1
Beasain,Legorreta,1
Beasain,Ikaztegieta,1
Beasain,Alegia,1
Beasain,Tolosa,2
Beasain,Anoeta,2
Beasain,Villabona,2
Beasain,Andoain,3
Beasain,Urnieta,3
Beasain,Hernani,4
